song	link	album	lyrics
(Set Me Free) Remotivate Me	https://www.allthelyrics.com/lyrics/depeche_mode/set_me_free_remotivate_me-lyrics-515930.html	Album: Speak Spell	"Set me free
Set me free
Remotivate me
Set me burning
After years in deep freeze
My body is yearning
For a new lease of life
And a little spice
Set me free
Remotivate me
Give me a reason
To scream and shout
Give me something
To get excited about
When everything is looking dull
I'm sure it isn't impossible to
Set me free
Remotivate me
Remotivate me
Set me burning
After years in deep freeze
My body is yearning
For a new lease of life
And a little spice
Set me free
Remotivate me
Don't think I'm impatient
Because I'm willing to wait
But something must must happen
Before it gets too late
It could be my imagination
But wasn't there more than this dull sensation
Set me free
Remotivate me"
A Photograph Of You	https://www.allthelyrics.com/lyrics/depeche_mode/a_photograph_of_you-lyrics-46408.html	Album: People Are People	"What good is a photograph of you
Everytime I look at it
It makes me feel blue
What use is a souvenir
Of something we once had
When all it ever does is
Make me feel bad
I wish I could tear it up
But then again I haven't the guts
I wish I could throw it on the fire
I wish I could
But to say I would
I'd be a liar
What good is a colour print
Of a little baby doll
When just one little glance
Is enough to make me feel dull
I hoped I would misplace it
But then I take such good care of it
I wish it would disappear
I say I wish
But then I relish
It being here"
A Question Of Time	https://www.allthelyrics.com/lyrics/depeche_mode/a_question_of_time-lyrics-46473.html	Album: The Singles 86>98	"Fragile
Like a baby in your arms
Be gentle with me
I'd never willingly
Do you harm
Apologies
Are all you ever seem to get from me
But just like a child
You make me smile
When you care for me
And you know...
It's a question of lust
It's a question of trust
It's a question of not letting
What we've built up
Crumble to dust
It is all of these things and more
That keep us together
Independence
Is still important for us though (we realise)
It's easy to make
The stupid mistake
Of letting go (do you know what I mean)
My weakness
You know each and every one (it frightens me)
But I need to drink
More than you seem to think
Before I'm anyone's
And you know...
It's a question of lust
It's a question of trust
It's a question of not letting
What we've built up
Crumble to dust
It is all of these things and more
That keep us together
Kiss me goodbye
When I'm on my own
But you know that I'd
Rather be home
It's a question of lust
It's a question of trust
It's a question of not letting
What we've built up
Crumble to dust
It is all of these things and more
That keep us together"
A Song For Europe	https://www.allthelyrics.com/lyrics/depeche_mode/a_song_for_europe-lyrics-440728.html	Album: Speak Spell	"Here
As I sit
At this empty cafe
Thinking of you
I remember
All those moments
Lost in wonder
That we'll never
Find again
Though the world
Is my oyster
It's only a shell
Full of memories
Here by the Seine
Notre-Dame casts
A long lonely shadow
Now only sorrow
No tomorrow
There's no today for us
Nothing is there
For us to share
But yesterday
This is my song
This is my song
This is my song
These cities may change
But there always remains
My obsession
Through silken waters
My gondola glides
And the bridge
it sighs
I remember
All those moments
Lost in wonder
That we'll never
Find again
There's no more time for us
Nothing is there
For us to share
But yesterdays
All those moments
Lost in wonder
That we'll never
Find again
All those moments
Lost in wonder
That we'll never
Find again
All those moments
Lost in wonder
That we'll never
Find again"
Addiction	https://www.allthelyrics.com/lyrics/depeche_mode/addiction-lyrics-434216.html	-	"I can't help it, I'm not sure what to do
Does seem crazy, no good for my health
I've seen the doctor, he's come to look at me
If you don't believe it, don't believe
Closer all the time, Closer all the time
Closer all the time, Closer all the time
Now I'm saying how I'm going to need a pill
I need you like a drug to keep my fill
I can't remember everything I do
Now I put them, it's only good to you
Closer all the time, Closer all the time
Closer all the time, Closer all the time
You can't help but look me in the eye
While I come running, I don't know why
It's an addiction, image of love
Your heart pushing, angel from above
Closer all the time, Closer all the time
Closer all the time, Closer all the time
Closer all the time, Closer all the time
Close!"
Addiction (Aka Ghost Of Modern Time)	https://www.allthelyrics.com/lyrics/depeche_mode/addiction_aka_ghost_of_modern_time-lyrics-46356.html	Album: A Broken Frame	"I can't help it, I'm not sure what to do
Does seem crazy, no good for my health
I've seen the doctor, he's come to look at me
If you don't believe it, don't believe
Closer all the time, Closer all the time
Closer all the time, Closer all the time
Now I'm saying how I'm going to need a pill
I need you like a drug to keep my fill
I can't remember everything I do
Now I put them, it's only good to you
Closer all the time, Closer all the time
Closer all the time, Closer all the time
You can't help but look me in the eye
While I come running, I don't know why
It's an addiction, image of love
Your heart pushing, angel from above
Closer all the time, Closer all the time
Closer all the time, Closer all the time
Closer all the time, Closer all the time
Close!"
Addiction (Also Known As Ghost Of Modern Time)	https://www.allthelyrics.com/lyrics/depeche_mode/addiction_also_known_as_ghost_of_modern_time-lyrics-880631.html	-	"I can't help it, I'm not sure what to do
Does seem crazy, no good for my health
I've seen the doctor, he's come to look at me
If you don't believe it, don't believe
Closer all the time, Closer all the time
Closer all the time, Closer all the time
Now I'm saying how I'm going to need a pill
I need you like a drug to keep my fill
I can't remember everything I do
Now I put them, it's only good to you
Closer all the time, Closer all the time
Closer all the time, Closer all the time
You can't help but look me in the eye
While I come running, I don't know why
It's an addiction, image of love
Your heart pushing, angel from above
Closer all the time, Closer all the time
Closer all the time, Closer all the time
Closer all the time, Closer all the time
Close!"
And Then...	https://www.allthelyrics.com/lyrics/depeche_mode/and_then-lyrics-46422.html	Album: Some Great Reward	"Let's take a map of the world
Tear it into pieces
All of the boys and the girls
Will see how easy it is
To put it all down and start again
From the top to the bottom and then
I'll have faith, or I prefer
To think that things couldn't turn out worse
All that we need at the start's
Universal revolution (that's all)
And if we trust in our hearts
We'll find the solution's
To put it all down and start again
From the top to the bottom and then
I'll have faith, or I prefer
To think that things couldn't turn out worse
Took a plane across the world
Got in a car
And when I reached my destination
I hadn't gone far
Let's take the whole of the world
The mountains and the sand
Let all the boys and the girls
Shape it in their hands
To put it all down and start again
From the top to the bottom and then
I'll have faith, or I prefer
To think that things couldn't turn out worse"
Any Second Now	https://www.allthelyrics.com/lyrics/depeche_mode/any_second_now-lyrics-46389.html	Album: Construction Time Again	"She remembered all the shadows and the doubts
The same film
Vivid pictures like a wall that's standing empty
And the night so still
Such a small affair a relapse someone closing
Like the nightclub door
Here again and when you speak I watch you move away
And seem so sure
She is hoping to forget and the moment
Almost slips away
When the colours move apart and I wonder
If you want to stay
And I need to change you like the words I'm reading
Don't you understand
This the warning and the message I remember
As you touch my hand"
Barrel Of A Gun	https://www.allthelyrics.com/lyrics/depeche_mode/barrel_of_a_gun-lyrics-46548.html	Album: The Singles 86>98	"Do you mean this horny creep
Set upon weary feet
Who looks in need of sleep
That doesn't come
This twisted, tortured mess
This bed of sinfulness
Who's longing for some rest
And feeling numb
What do you expect of me
What is it you want
Whatever you've planned for me
I'm not the one
A vicious appetite
Visits me each night
And won't be satisfied
Won't be denied
An unbearable pain
A beating in my brain
That leaves the mark of Cain
Right here inside
What am I supposed to do
When everything that I've done
Is leading me to conclude
I'm not the one
Whatever I've done
I've been staring down the barrel of a gun
Is there something you need from me
Are you having your fun
I never agreed to be
Your holy one
Whatever I've done
I've been staring down the barrel of a gun"
