song	link	album	lyrics
Abraham, Martin, And John	https://www.allthelyrics.com/lyrics/dio/abraham_martin_and_john-lyrics-1145780.html	-	"Anybody here seen my old friend Abraham?
Can you tell me where he's gone?
He freed lotta people but it seems the good they die young
You know I just looked around and he's gone
Anybody here seen my old friend John?
Can you tell me where he's gone?
He freed lotta people but it seems the good they die young
I just looked around and he's gone
Anybody here seen my old friend Martin?
Can you tell me where he's gone?
He freed lotta people but it seems the good they die young
I just looked around and he's gone
Didn't you love the things that they stood for?
Didn't they try to find some good for you and me?
And we'll be free
Some day  soon, it's gonna be one day
Anybody here seen my old friend Bobby?
Can you tell me where he's gone?
I thought I saw him walkin' up over the hill
With Abraham, Martin, and John"
All The Fools Sailed Away	https://www.allthelyrics.com/lyrics/dio/all_the_fools_sailed_away-lyrics-68301.html	Album: Dream Evil	"En høyreist ridder vender hjem
Over himmel til himmel på en selvgjort bro
Fra den endelige tvekamp mot lysets prest
For nå til sist å gå til ro
Se der i fjellbrisens indre
Hvor dets liv har søkt ly for en sol
Som omsider vil mørkne med den evige natt
Og hindre en verden i (å) blomstre og gro
Se der i øyets satire
Hvor rester av godhet jages på flukt
Og vindes vekk i en åpen grav
Til den siste tenning av lys er slukket
Med kraftige hugg i menneske skaller
Frydes den rytter i årvåken dis
Himmelhøyt, vandrende over sin stjerne
Skottende på en jord dekket i is
Over utallige faldne menn
Som sådde livets spirende korn
Streifer han vekk fra den siste krig
Den mektigste fyrste, den blodige torn"
Along Comes A Spider	https://www.allthelyrics.com/lyrics/dio/along_comes_a_spider-lyrics-68351.html	Album: Killing The Dragon	"Remember when you only needed no one
Every day's tomorrow
And it's all right
No confessions - not for you
Forget the things you've done
It's what you'll do
The first time you're suspicious
What's that gliding down
Along comes a spider
Suddenly the world has no more changes
You've run with an evil woman
So it's all right
No more strangers? candy lies
The light is so much better for your eyes
Now I'm not superstitious
But every time you've tried
Along comes a spider
Don't ask why - it's the long way around
Just go wild
Why do we believe in conversation
We never seem to listen
We only hear
Now you don't need permission
But don't get caught next time
Along comes a spider
A spider
A spider
Inside her"
Another Lie	https://www.allthelyrics.com/lyrics/dio/another_lie-lyrics-68288.html	Album: Sacred Heart	"There's perfect harmony
In the rising and the falling of the sea
And as we sail along
I never fail to be astounded by
The things we'll do for promises
And a song
We are the innocent
We are the damned
We were caught in the middle of the madness
Hunted by the lion and the lamb
We bring you fantasy
We bring you pain
It's your one great chance for a miracle
Or we will disappear
Never to be seen again
And all the fools sailed away
All the fools sailed away
Sailed away
We bring you beautiful
We teach you sin
We can give you a piece of the universe
Or we will disappear
Never to return again
And all the fools sailed away
All the fools sailed away
All the fools sailed away
Sailed away
Sailed away
And as we drift along
I never fail to be astounded by
The things we'll do for promises
And a song
We are the innocent
We cut we bleed
We're your one great chance for a miracle
And a miracle is something you need
They'll take your diamonds
And give you steel
you'll be caught in middle of the madness
Lost like them
And a part of all the pain that they feel
And all the fools sailed away
All the fools sailed away
All the fools sailed away
Leaving nothing to say
All the fools sailed away
They say you're beautiful
And they'll always let you in
But doors are never open
To a child without a trace of sin
Sail, sail, sail"
As Long As It's Not About Love	https://www.allthelyrics.com/lyrics/dio/as_long_as_its_not_about_love-lyrics-68356.html	Album: Magica	"From the first time we touched with our eyes
Only magic could take away my heart
I am always afraid for my heart
So lay beside me now and tell me lies - sweet lies
As long as it's not about love
Shall we sail off the edge of the world
Fall forever and never look behind
But I must keep my heart from my mind
Lay beside me now and tell me lies
As long as it's not about love
Oh the last time we touched with our eyes
And the magic was stronger than the heart
Oh, I can't run away with my heart
So, lay beside me now and tell me lies
As long as it's not about love
Shall we sail off the edge of the world
Fall forever
Take my heart away but no
You can't say words about love
Ooh
If the magic comes between us
And we never meet again
Take a part of me away
'Cause maybe it's all above love
Love, ooh"
Before The Fall	https://www.allthelyrics.com/lyrics/dio/before_the_fall-lyrics-68366.html	Album: Killing The Dragon	"Someone had a dream
Never been to London
Never in a limousine
Something made him go
Could it be the voices
Coming from the radio
But somewhere down the line
The happiness you'll find
Will crash into a wall
Just before the fall
Someone joined the band
But he never heard the music
Couldn't really understand
No, no no
Don't know what they mean
Where's my picture
Shining from a magazine
But somewhere down the line
He'll quickly glance behind
Then smash into a wall
Before the fall
Someone ran so fast
When he saw the future
He was sure that it was just the past
Someone had a dream
Only this one ended lost
Inside the old machine
And somewhere down the line
They'll say that his is mine
And all that's left is time
Time to fall and stumble, ah"
Better In The Dark	https://www.allthelyrics.com/lyrics/dio/better_in_the_dark-lyrics-68352.html	Album: Killing The Dragon	"I'm all right - I'm crossing over
I just shot the sun
One more night - black as heaven
So no-one saw the gun
Running with monsters in shadows
And monsters always know
It's better in the dark
Oh, she's all right - tall and handsome
If the lights are down
Gone by dawn - takes no chances
Might come back around
Clutching to monsters in shadows
And monsters always know
It's better in the dark
I'm all right - I'm crossing over
I can disappear - gone
Clutching to monsters in shadows
And monsters always know
It's better in the dark
Better in the dark
I just shot the sun"
Between Two Hearts	https://www.allthelyrics.com/lyrics/dio/between_two_hearts-lyrics-68316.html	Album: Lock Up The Wolves	"She's a rumor in the night
It's crazy
You can see her but she isn't there
She's the stealer of the light
It's crazy
But you go anywhere
It was just a summer night
Maybe
When a shiver cut across the air
Should you run and get away
Maybe
To go where-where-where
She crouches the hunter
Ready to tell you
Another lie
Another lie
You could see the side of someday
Feel the power of the young and strong
You were learning how to fly someway
You were wrong-wrong-wrong
She jumped at the moment
A chance to tell you
Another lie
It was just a summer night
Maybe
When a shiver cut across the air
Should you run and get away
Maybe
To go where-where-where
She jumps at the moment
She crouches the hunter yeah
You look and you know she's telling you
Another lie
Another lie
Why it's crazy
When you feel you're getting stronger
Why it's crazy
All the lies are getting longer
Another lie
Another lie"
Big Sister	https://www.allthelyrics.com/lyrics/dio/big_sister-lyrics-68329.html	Album: Angry Machines	"She never breaks into the conversation
He seems to be the reason why she lives
She tries to be the perfect kind of stranger
But we always seem to love the most
The ones who never give
Chorus:
It's between two hearts
A personal situation
It's between two hearts
The kind of love with a bad reputation
We never have to ask her why she's crying
The simile she had's been kicked into a frown
But still ti makes her day to be his pleasure
Should we open up her eyes
Can we ever break the spell
Chorus:
It's between two hearts
A personal combination
It's between two hearts
The kind of love with a bad reputation
Put on your party face and come along
Join in the big parade
Here comes the camera
Do you look as good as your sister
Smile at the animals
They should be the ones in the cages
Turn the page
Another way to spend a rainy Sunday
Waiting for a call that never comes
The mystery is how she makes her choices
But don't we always choose
The ones who hide the sun
Chorus:
It's between two hearts
Love and desperation
It's between two hearts
The kind of love
Between two hearts
A personal situation
It's between two hearts
The kind of love with a reputation"
Black	https://www.allthelyrics.com/lyrics/dio/black-lyrics-68327.html	Album: Angry Machines	"Who controls your mind
There have been changes
No more giving it all for free
There will be changes
Now woman is all you need
A-ah
Here is a number
You've been given an another name
We will be watching
One might fall but you'll all be blamed
Shame, shame
Here's big sister
We're big sister
Hear big sister
There's big sister
Dancing on your grave
Who controls your mind
Who's in charge of hearts
Who controls you time
We're in charge of you
There have been changes
Even mother's a soldier now
There have been changes
You can touch 'cause you don't know how
No
Here's big sister
We're big sister
Hear big sister
There's big sister
Dancing on your grave
Pretty faces, young and clean
Watching you from magazines
All they want is something more
Kill the king and then we'll crown the whore
Here's big sister
We're big sister
Hear big sister
There's big sister
Who controls your mind
In charge of hearts
Controls your time
In charge of you
Here's big sister
We're big sister
Control"
Blood From A Stone	https://www.allthelyrics.com/lyrics/dio/blood_from_a_stone-lyrics-68328.html	Album: Strange Highways	"Identify the real world
Investigate the real world
Intensify inspection
There for all to see
Here's what lies do
All things turn to
Black, black
Yeah, no
Now desensitize your heartbeat
Regulate the heartbeat
Sterilize all emotion
Justify your needs
Here's what love does
Dies and fades to
Black, black
There are no champions
Who saves the lonely ones
In the corner
Black, yeah
Black
You must identify
You and the real world
Interrogate the new real world
Then generate intention
Information, please
Here's what i know
Soon we'll all go
We must fade to
Black"
Born On The Sun	https://www.allthelyrics.com/lyrics/dio/born_on_the_sun-lyrics-68309.html	Album: Lock Up The Wolves	"Oh, you've been surprised again
Pulled like a leaf to the waterfall
Everybody's just pretending
I thought that you'd learn by now
Ooh, think about it one more time
What have you got when the god is gone
Clouds don't have a silver lining
And all you ever get is rain
'Cause you can't get blood from a stone
You can't open the door if there's nobody home
They've taken it all so just leave me alone
You can't get blood from a stone
It isn't once upon a time
When nobody falls and the hero flies
That victims got to fit the crime
And nobody goes down with you
You, you!
'Cause you can't get blood from a stone
You can't open the door if there's nobody home
They've taken it all so just leave me alone
You can't get blood from a stone
No, no
'Cause you can't get blood from a stone
You can't open the door if there's nobody home
They've taken it all so just leave me alone
No, you can't get blood from a stone
No blood from a stone
Go on and leave me alone
And I know it's a shock
To learn that you can't
You can't, you can't get blood from a rock"
Breathless	https://www.allthelyrics.com/lyrics/dio/breathless-lyrics-68281.html	Album: The Last In Line	"There's a crack in the rainbow
There's a hole in the sky
You believed in something
Now it's just a lie
No jokes from the jester
Not a laugh from the clown
And your world is upside down
You can hide in a circle
It's a way to survive
be another number
At least you'd be alive
Or you can ride with the gypsy
He can take you to hell
And the answers sceaming
In a voice you know so well
Chorus:
You - you're made of fire
Never higher
You were made to run
You - you're burning higher
You've got the fire
You were born on the sun
So take a walk with the wild one
It's the way that I've found
You can turn it upside down
Chorus"
Bring Down The Rain	https://www.allthelyrics.com/lyrics/dio/bring_down_the_rain-lyrics-68332.html	Album: Strange Highways	"You said a single word
But no one really heard
Sometimes we scream alone
It's always worse at night
When darkness kills the light
We're in the danger zone
You wait with pounding heart
You know it's just the start
Cause you're Breathless, ready to burn
Breathless, willing to learn
Breathless, the circle still turns
You're Breathless
Living inside your mind
Who knows the things you'll find
There could be hell or rainbows
But it's a funny thing
The more you feel the sting
You're just a leaf that the wind blows
You've been this way before
One step and you're through the door
And you're Breathless, ready to burn
Breathless, the circle still turns
Breathless, willing to learn
You're Breathless
Repeat Verse 1"
Caught In The Middle	https://www.allthelyrics.com/lyrics/dio/caught_in_the_middle-lyrics-68274.html	Album: Holy Diver	"Did you ever believe in your dreams before
Were you always afraid of the dark
Is the edge of the world always in your head
Does the gun point straight at your heart
It used to come just when you sleep
But now, it's only a shout away
You always seem to find the sun
But this time, the sun is a fire
Bring down the rain
This house is burning again
Put out the flame
Bring down the rain
You were told that the storm would just roll on by
That the thunder was made in your mind
And the heat in the night was to keep you warm
And the truth could be told by a lier now
You always seem to find the light
But this time, the light is a fire
Bring down the rain
This house is burning again
Put down the flame
Bring down the rain
Shake up, break up, everybody make up
Everything's always the same
Trapped down, trapped down, everybody back down
Bring down the rain
You always seem to find the light
But this time, the light is a fire
Bring down the rain
This house is burning again
Don't play the game
Bring down the rain
Put out the flame
Bring down the rain
It's the shake up, break up, everybody make up
Well, it's always the same
Trapped down, cracked down, everybody back down
Won't you bring down all the rain"
Challis (Marry The Devil's Daughter)	https://www.allthelyrics.com/lyrics/dio/challis_marry_the_devils_daughter-lyrics-68353.html	Album: Magica	"I am a rock
And you are glass
Never broken - never last
And if you're in my way I'll knock you down
If it's a joke
I'll never laugh
Here's exactly how I see you in the light
You're like a tear in the ocean
Dust in the wind
Like a stone in the water
I'm gonna sleep with the devil's daughter
I am your shock
I am your shame
Another face without a name
And if you think I'm angry just come over
I need to tell
Just who you are
My description of the world I've seen so far
You're like a tear in the ocean
Dust in the wind
Like a stone in the water
I might marry the devil's daughter
I am a rock
And you are glass
If it's a joke
Nobody laugh
And even - When you know you're guilty still you're right
You're like a tear in the ocean
Dust in the wind
Like a stone in the water
Like a spark in the fire
Dust in the sand
Like a stone in the water
I'm gonna run with the devil's daughter
Run, run, run, run, run away!
Require, explanation. What is love?
Who is love? When is love? Where is love? Why is love?"
Cold Feet	https://www.allthelyrics.com/lyrics/dio/cold_feet-lyrics-68364.html	Album: Killing The Dragon	"Tired of living in the black and white?
Where fools can tell you that you're never right
I know a place where the film's in color
Just step inside of yourself
Here's a place in the front row
So on with the show
The same old shadow on the run
That's no shadow, it's your shadow's son
I know a place where the pools got water
And you don't need to know how to swim
Here's the key to the back door
Do you want more
Do you need more?
Same old rhythm to the same old rhyme
The same old clock - same old time
There's a place where the grass is greener
And you can shake, rattle and roll
Here's the key to the front door
Do you want more
Will you need more?
Tired of living in the black and white
Where no-one's wrong and you're never right
Same old steps to the same old dance
Just one more reason - one more chance
Oh"
Death By Love	https://www.allthelyrics.com/lyrics/dio/death_by_love-lyrics-784457.html	Album: Master Of The Moon	"One night when the stars were right for the gypsy queen
And she found she could drag you down
To a place that's in-between it all
She's a madman with a delicate hand and evil eyes
And I've heard she'll only say a word
And that's enough to satisfy
Don't ask why, don't even think about it
Brave men die but what a way to go
She's not above
Death by love
One spell from the wishing well
And you're never more
A bad start for the sacred heart
'Cause the end has come before the beginning
Knee deep in the darkest sleep But the eyes see all
So high you could break the sky And never feel the fall to come
Strong men die but what a way to go
She's not above
Death by love
Don't ask why
Don't even think about it
Brave men die but what a way to go
You've got symptoms of
Death by love
She's not above
Death by love
Don't ask why
Don't even guess about it
All men die but this is death by love"
Don't Talk To Strangers	https://www.allthelyrics.com/lyrics/dio/dont_talk_to_strangers-lyrics-68278.html	Album: Holy Diver	"Looking inside of yourself
You might see someone you don't know
Maybe it's just what you need
Letting the river in you flow
You can sail away to the sun
And let it burn you while you can
Or walk a long bloody road
Like the hero who never ran
You'll feel it
You'll feel it
You'll feel the rush of it all
Flying away int the clouds
You know you're loosing your control
Finding you way in the dark
Like some poor forgotten soul
You'll feel it
You'll see it
You'll feel the rush of the city lights
You'll feel it
I see it in your eyes, you're
Caught in the middle
Just like the way you've always been
Caught in the middle
Helpless again
Looking inside of yourself
You might see someone you don't know
Maybe it's just what you need
Letting the river I know that's in you flow
You'll feel it
You'll see it
You'll feel the rush of thunder
You'll feel it
I see it in your eyes, you're
Caught in the middle
Just like the way you've always been
Caught in the middle
Helpless again"
Don't Tell The Kids	https://www.allthelyrics.com/lyrics/dio/dont_tell_the_kids-lyrics-68326.html	Album: Angry Machines	"Don't talk to strangers
Cause they're only there to do you harm
Don't write in starlight
Cause the words may come out real
Don't hide in doorways
You may find the key that opens up your soul
Don't go to Heaven cause it's really only Hell
Don't smell the flowers
They're an evil drug to make you loose your mind
Don't dream of women cause they only bring you down
Hey you you know me you've touched I'm real
I'm forever the one that lets you look and see and
Feel me I'm danger - I'm the stranger
I I'm darkness I'm anger I'm pain
I am master
The evil song you sing inside your brain
Make you inside
Don't dance in darkness
You may stumble and you're sure to fall
Don't write in starlight
Cause the words may come out real
Don't talk to strangers
Cause they're only there to make you sad
Don't dream of women
Cause they'll only bring you down"
Double Monday	https://www.allthelyrics.com/lyrics/dio/double_monday-lyrics-68336.html	Album: Angry Machines	"Please, please, make love freeze
And break apart in the middle of it
Then they could see the hate
When they separate
And taste the salt of their tears
No, no, it's all about experience
Control, you might as well be wood, no good
Why why, your questions die
In a shout and no attention
You might have said
That they both were dead
So put the puzzle away
But no, it's all about experience
Control, they're gonna give you none, no fun
Don't tell the kids, they'll never understand it
Don't tell the kids, don't waste your time, no
Get back, it's a heart attack
And the planet needs a doctor
We can tell it looks like hell
But they make us close our eyes
No, it's all about experience
And control, you might as well be stone, alone
Don't tell the kids, they'll never understand it
Don't tell the kids, don't waste your time, yeah
Don't tell the kids, they'll never get the picture
Don't tell the kids, you waste your time, yeah
Don't tell the kids, they just don't understand it
Don't tell the kids, don't waste your time, time
Talk to the animals
Anyone who'll answer
Any fool will do
Just don't tell the kids"
Dream Evil	https://www.allthelyrics.com/lyrics/dio/dream_evil-lyrics-68304.html	Album: Dream Evil	"When you're alone and the sun's gone down
One more time
Must you prentend that some light still shines
Sounds like double Monday
Yeah
Each time you think that you've just begun
It's the end
Oh, someone you love wants to just be friends
Sounds like double Monday
Yeah
Feels like snakes and spiders
Crawling up your body
Every someday double Monday
Like a fly against the wall
Just when you think you've seen it all you
You lose your special place to hide
So get ready for the ride, ride, ride
Yeah
Every someday double Monday"
Dying In America	https://www.allthelyrics.com/lyrics/dio/dying_in_america-lyrics-68345.html	Album: Angry Machines	"All's well at the midnight hour
You're ready to fly
Don't think about the darkness
Or the rumbling in the sky
Somewhere on the morning road
Just waiting for you
Somethings that just could never be
Are calling up a spell so you can see, yeah!
Dream evil
The dark that you find in the back of your mind
Dream evil - Dream evil
Don't go to the edge of rainbows
Don't close your eyes
Like things that can't be real
The truth is really lies
Don't wish on a rising star you should
Open up the door
Where things that just should never be
Are calling up a spell so you can see, yeah!
Dream evil
The dark that you find
Can come out of your mind
Dream evil
Take you away
Oh no it's the midnight hour
Don't leave me alone
Those things that just should never be
Are calling up a spell so you can see
Dream evil
Dream evil
Dream evil
Dream evil
Dream evil
Oh no it's the midnight hour
Don't open the door
Don't go to the edge of rainbows
Don't sleep any more
You'll dream evil
You'll dream evil
You'll dream evil
Dream evil"
Eat Your Heart Out	https://www.allthelyrics.com/lyrics/dio/eat_your_heart_out-lyrics-68287.html	Album: The Last In Line	"Once upon a high
The streets were gold and blue was
In the sky riders gone
Never could belong
Maybe you still can dream
Sleep through screams
While we're dying in America
Once upon a child
The carnival would stop and stay a-
While you were gone
Everything went wrong
Too soon, cartoon
Dying in America
Dying in America
In places where aces outnumber the queens
Jack is afraid of tomorrow
Colors are changing to red, white and green
As we all fall down
Once upon a hate
They told us they could fix it if we'd
Wait for awhile
Killing you with smiles
Maybe you still can dream
Sleep through screams
While we're dying in America
Dying in America
Sex, sex, sex
Even winner, even better
Don't lose out, be a winner
Same horse, same time and same now
One hundred thirty per cent American people
Would like everyone else"
Egypt (The Chains Are On)	https://www.allthelyrics.com/lyrics/dio/egypt_the_chains_are_on-lyrics-68285.html	Album: The Last In Line	"In the land of the lost horizon
Where the queen lies dark and cold
When the stars won't shine, then the story's told
When the world was milk and honey
And the magic was strong and true
Then the strange ones came and the people knew
That the chains are on
In the land of no tomorrow
Where you pray just to end each day
And your life just slowly melts away
Each day you hear the sand as it moves and whispers
Come and sail on my golden sea
Maybe one day you'll be just like me...and that's free
But still your chains are on
You've seen them walking on the water
You've seen flying through the sky
They were frightening in the darkness
They had rainbows in their eyes
When the world was milk and honey
And the magic was strong and true
The the strange ones came and the people knew
That the chains are on"
Eriel	https://www.allthelyrics.com/lyrics/dio/eriel-lyrics-68354.html	Album: Magica	"Now that my dreams have gone dead
I see them burning in the fire
Just like the words that I've said
Ashes turned to ashes once again
Look for a sign in the air
A light that dances in the sky
Maybe you'll see it somewhere
Oh, shining like a diamond
Promising that hope will never die
I might know the answer
Well, it's back there in my brain
Someday soon I'll be rising again
Higher than the sun
I have been father and son
I cry for children of the night
Just because tears have begun
Beware of quiet voices
Thunder comes from silence - I am light
Oh, look for a sign, is it me
No don't believe with only eyes
Speak to the blind 'cause they see
Truth is just a circle
Spinning round until it meets the lies
Then dies"
Evil Eyes	https://www.allthelyrics.com/lyrics/dio/evil_eyes-lyrics-68270.html	Album: The Last In Line	"In the land of the lost horizon
Where the queen lies dark and cold
When the stars won't shine, then the story's told
When the world was milk and honey
And the magic was strong and true
Then the strange ones came and the people knew
That the chains are on
In the land of no tomorrow
Where you pray just to end each day
And your life just slowly melts away
Each day you hear the sand as it moves and whispers
Come and sail on my golden sea
Maybe one day you'll be just like me...and that's free
But still your chains are on
You've seen them walking on the water
You've seen flying through the sky
They were frightening in the darkness
They had rainbows in their eyes
When the world was milk and honey
And the magic was strong and true
The the strange ones came and the people knew
That the chains are on"
Evil On Queen Street	https://www.allthelyrics.com/lyrics/dio/evil_on_queen_street-lyrics-68314.html	Album: Lock Up The Wolves	"Dio : Evil Eyes (1983, Dio)
===============
Hide in the midnight
Turn out the lights you see them anyway
Sail into never
They follow wherever you can go
And take you to the places you don't know
No, no
It's the call of the city
The way the blacks pretty to the purest heart
Is places of pleasure
They promise the treasure if you fly
And then there goes the soul of you and I
Oh do you ever think about the way
I caught the rainbow
I'll be there when fire makes you dance
I'm gonna give you the look
That opens up the skies
I've got evil eyes
Evil eyes
Evil eyes
Evil eyes
Yes evil eyes
Ooh those eyes
Look high in the night time
Turn out the lights they see you anyway
Sail into never
They follow wherever you can go
Evil eyes
Evil eyes
Evil eyes
Evil eyes
Evil eyes
Evil eyes
Take your lies
Evil eyes
You've been in the skies
For what you are
Evil eyes
Sail into never
They'll follow you forever
'Cos they're evil eyes
Evil - Evil - Evil - Evil - Evil - Evil - Evil Eyes"
Evilution	https://www.allthelyrics.com/lyrics/dio/evilution-lyrics-68312.html	Album: Strange Highways	"Spent the night on the road
And never saw the miles go
Running away
Got to get free from myself
Stories were made to be told
and here's the one that I know
I can't hide it anymore
There's evil on Queen Street
Saw the house in the dark
It seemed to say ""come touch me
I've got a heart
Open the door to my soul""
Climb to the top of my stairs
And look into my windows
I can be your wishing well
There's no evil on Queen Street
Let me inI can warm in the heat of your fire
It's no permanent sin to be bad
If you're sorry
Let me go - you're a promise that comes from a liar
I don't know - if I ever can wash all the evil away
Struck a match at the dark
It screamed no, no I love you
Together we're strong
You always believed what I'd say
But now the heat of a flame
Can start me to remember
There's no evil - evil
No evil on Queen Street
Just smoke in the air
No evil anywhere
No evil on Queen Street"
