song	link	album	lyrics
A Bit Of Finger	https://www.allthelyrics.com/lyrics/black_sabbath/a_bit_of_finger-lyrics-358933.html	Black Box: The Complete Original Black Sabbath	"I am the crazy man
Who lives inside your head
But I think I'm breaking through the wall
You are the innocent
Convicted of the crime
No one was ever there
To catch you when you fall
I see the diamonds
But you only see the rock
I need to run
But you only crawl
It's time to open up
All the doors that you keep locked
Nobody gives without a take
Let's take it all
You've been twisted into pieces
By the hands of your emotions
How much longer are you gonna pay
For yesterday
Sins of the father
One more crucifixion
One more cross to bear
You're a hole in a photograph
Go on - lose it in the city
The city can feel no shame
See the world with electric eye
They call it mystery
But any fool could see
You thought he walked on the water
And if the pain was gone
And you were free to run away
And get out
Would you get out of there
Or do you really care
It's not safe or easy
And maybe when you're gone
You just won't belong at all
You're the only witness
To the murder of an angel
How much longer are you gonna pay
For yesterday
Sins of the father
It's just another crucifixion
One more cross to bear
Go on lose it in the city
Take a look at the world
You've got electric eyes"
A National Acrobat	https://www.allthelyrics.com/lyrics/black_sabbath/a_national_acrobat-lyrics-7159.html	Sabbath Bloody Sabbath	"I am the world that hides
The universal secret of all time
Destruction of the empty spaces
Is my one and only crime
I've lived a thousand times
I found out what it means to be believed
The thoughts and images
The unborn child that never was conceived
When little worlds collide
I'm trapped inside my embryonic cell
And flashing memories
Are cast into the never ending well
The name that scorns the face
The child that never sees the cause of man
The deathly darkness that
Belies the fate of those who never ran
Well I know its hard for you
To know the reason why
And I know you'll understand
More when it's time to die
Don't believe the life you have
Will be the only one
You have to let your body sleep
To let your soul live on
Love has given life to you
And now it's your concern
Unseen eyes of inner life
Will make your soul return
Still I look but not to touch
The seeds of life are sown
Curtain of the future falls
The secret stays unknown
Just remember love is life
And hate is living death
Treat your life for what it's worth
And live for every breath
Looking back I've lived and learned
But now I'm wondering
Here I wait and only guess
What this next life will bring"
After All	https://www.allthelyrics.com/lyrics/black_sabbath/after_all-lyrics-104014.html	Dehumanizer	"I am the world that hides
The universal secret of all time
Destruction of the empty spaces
Is my one and only crime
I've lived a thousand times
I found out what it means to be believed
The thoughts and images
The unborn child that never was conceived
When little worlds collide
I'm trapped inside my embryonic cell
And flashing memories
Are cast into the never ending well
The name that scorns the face
The child that never sees the cause of man
The deathly darkness that
Belies the fate of those who never ran
Well I know its hard for you
To know the reason why
And I know you'll understand
More when it's time to die
Don't believe the life you have
Will be the only one
You have to let your body sleep
To let your soul live on
Love has given life to you
And now it's your concern
Unseen eyes of inner life
Will make your soul return
Still I look but not to touch
The seeds of life are sown
Curtain of the future falls
The secret stays unknown
Just remember love is life
And hate is living death
Treat your life for what it's worth
And live for every breath
Looking back I've lived and learned
But now I'm wondering
Here I wait and only guess
What this next life will bring"
After All (The Dead)	https://www.allthelyrics.com/lyrics/black_sabbath/after_all_the_dead-lyrics-1127781.html	The Dio Years	"What do you say to the dead
Will you forgive me for living
Can't believe the things that they said
Wonderful day for a killing
It's killing me
What do they do with your soul
Is it just lying there busted
When did you lose all control
Is there someone to be trusted
With my mind
Oh there's insufficient evidence
Of what just might come after
But sometimes out of nowhere
There's demented sounds of laughter
Are we all haunted by
The ghost - imagination
It just can't be
I've seen them there
Howling at the moon
Is it just me
Or does somebody else believe this
Well I'm not alone
And I'm not afraid
There's just one way to see
After all etc.
What do you say to the dead
Is there a place where it's burning
It says in a book I once read
Yes there's a chance of returning
Turn to me
The fundamental principles
Say nothing of forever
But those are voices that I hear
Or I'm just not so clever
It can't be me
I know somebody else believes this
Well I'm not alone
I'm not afraid
Just one way to see
After all etc."
After Forever	https://www.allthelyrics.com/lyrics/black_sabbath/after_forever-lyrics-32391.html	Master Of Reality	"Have you ever thought about your soul - can it be saved?
Or perhaps you think that when you're dead you just stay in your grave
Is God just a thought within your head or is he a part of you?
Is Christ just a name that you read in a book when you were in school?
When you think about death do you lose your breath or do you keep your cool?
Would you like to see the Pope on the end of a rope - do you think he's a fool?
Well I have seen the truth, yes I've seen the light and I've changed my ways
And I'll be prepared when you're lonely and scared at the end of our days
Could it be you're afraid of what your friends might say
If they knew you believe in God above?
They should realize before they criticize
that God is the only way to love
Is your mind so small that you have to fall
In with the pack wherever they run
Will you still sneer when death is near
And say they may as well worship the sun?
I think it was true it was people like you that crucified Christ
I think it is sad the opinion you had was the only one voiced
Will you be so sure when your day is near, say you don't believe?
You had the chance but you turned it down, now you can't retrieve
Perhaps you'll think before you say that God is dead and gone
Open your eyes, just realize that he's the one
The only one who can save you now from all this sin and hate
Or will you still jeer at all you hear? Yes! I think it's too late."
Air Dance	https://www.allthelyrics.com/lyrics/black_sabbath/air_dance-lyrics-7178.html	Never Say Die	"She sits in silence, in her midnight world
Her faded pictures, of her dancing girls
Her, distant dreamer, on the seas of time
Her happy memories, dancing through her mind
In days of romance
She was the queen of dance
She'd dance the night away
And as the seasons turn the days to years
She holds her pictures, hears the silent cheers
The days grow lonely for the dancing queen
And now she dances only in her dreams
In days of romance
She was the queen of dance
She'd dance the night away, away, away, away"
All Moving Parts	https://www.allthelyrics.com/lyrics/black_sabbath/all_moving_parts-lyrics-104015.html	Black Box: The Complete Original Black Sabbath	"She sits in silence, in her midnight world
Her faded pictures, of her dancing girls
Her, distant dreamer, on the seas of time
Her happy memories, dancing through her mind
In days of romance
She was the queen of dance
She'd dance the night away
And as the seasons turn the days to years
She holds her pictures, hears the silent cheers
The days grow lonely for the dancing queen
And now she dances only in her dreams
In days of romance
She was the queen of dance
She'd dance the night away, away, away, away"
All Moving Parts (Stand Still)	https://www.allthelyrics.com/lyrics/black_sabbath/all_moving_parts_stand_still-lyrics-7169.html	Technical Ecstasy	"Super animation, turning on a nation
And they're saying all moving parts stand still
Since he was elected, adrenalin injected
Hear him saying all moving parts should kill
Just like the hero he's got them all on the run
Yes he's won, yeah
Since he passed the motion
They're building in the ocean
And he's saying all men should all be free
What a combination, peace and radiation
And he's saying free men should fight for me
Just like his momma, he seems to get his pleasure from pain
And the rain, ain't that strange? Very strange, yeah
I like choking toys
You've got to see me before you meet the boys
Teacher's burnt the school
He's had enough of sticking to the rules, alright
People stop and see
He's got to be more decadent than me
Just to pass the time
He gets his kicks from licking off the wine
Pretty silly ladies
All Cynthia's and Sadie's
Call him and he takes their numbers down
Says he is a woman
I should have seen it coming
And she's saying she's married to a clown
Just like a lady she'll keep you guessing through the night
Not tonight, well I might, oh alright, yeah"
Am I Going Insane (Radio)	https://www.allthelyrics.com/lyrics/black_sabbath/am_i_going_insane_radio-lyrics-7155.html	Sabotage	"Everybody's looking at me, feeling paranoid inside
When I step outside I feel free, think I'll find a place to hide
Tell me people, am I going insane?
Tell me people, am I going insane?
Every day I sit and wonder how my life it used to be
Now I feel like going under, now my life is hard to see
So tell me people, am I going insane?
Tell me people, am I going insane?
So I'm telling all you people, listen while I sing again
If I don't sound very cheerful, I think that I'm a schizo brain
So tell me people, am I going insane?
Tell me people, am I going insane?"
Ancient Warrior	https://www.allthelyrics.com/lyrics/black_sabbath/ancient_warrior-lyrics-104018.html	Eternal Idol	"There's no end - there's no beginning -
To the old man's story
Does he still remember me -
From lives gone by
Oh I see his spirit rising
Upon the back of time
I've got nowhere to hide
Will he keep a place for me
He is the king of all kings
The keeper of light
He holds eternity's wings
In his eyes an ocean's burning
Swollen seat of tears
Troubled mind the beating
War drums in his ears
No one ever hears his warning
Am I the one he calls
When they tell me they're afraid
Some say I'll be put away
He is the king of all kings
The keeper of light
He holds eternity's wings
My blood will spill my blood
My blood will spill my blood
In the wisdom of the prophet's
Never ending tale
Open up the eyes
Within your mind, he says
Crowned in his ancient glory
There's a king within us all
Some will say it's all in vain
That he doesn't have a name
He is the king of all kings
The keeper of light
He holds eternity's wings"
