song	link	album	lyrics
(Can I) Find The Right Words (To Say)	https://www.allthelyrics.com/lyrics/blondie/can_i_find_the_right_words_to_say-lyrics-102613.html	The Hunter	"Look up the right words
The ones for today
And use them correctly
And mean what I say
Answer the questions
Crossword confession
Interrogation
I'm down, can we meet
Is it true, do you cheat?
How far can I go?
How much do you know?
What's the definition?
How much did she mention?
How much does she know?
Can I find the right words to say?
The right words are so hard to say
It's a challenger puzzle
From the magazine section
Across with the questions
Do the ethics of reference
One hundred twenty brain teasers to torment you
One hundred thoughts
I can't find the right words to say
My meaning's not quite getting through
The right words are so hard to say
Can I find the right words for you?
Let's not hedge our bets
'Cause the odds are dependent
Please listen instead
Now the whispers are ending
The point's misleading
As points often do
Can I find the right words for you?"
(I'm Always Touched By Your) Presence, Dear	https://www.allthelyrics.com/lyrics/blondie/im_always_touched_by_your_presence_dear-lyrics-102709.html	Plastic Letters	"Was it destiny?
I don't know yet
Was it just by chance?
Could this be kismet?
Something in my consciousness told me you'd appear
Now I'm always touched by your presence dear
When we play at cards you use an extra sense
It's really not cheating, you know?
You can read my hand I've got no defense
When you send your messages, whispered loud and clear
I'm always touched by your presence dear
Floating pass the evidence of possibilities
We could navigate together psychic frequencies
Coming into contact with outer entities
We could entertain each one with our theosophy
Stay awake at night and count your REM's
When you're talking with your super friends
Levitating lovers in the secret stratosphere
I am still in touch with your presence dear
I am still in touch with your presence dear"
11:59	https://www.allthelyrics.com/lyrics/blondie/1159-lyrics-102571.html	Parallel Lines	"Leaning in your corner like a candidate for wax.
Sidewalk social scientist don't get no satisfaction from your cigarette
It's ten to ten.
Time is running out.
Lock up all your memories.
Get outa here, you know that we can run.
Today can last another million years.
Today could be the end of me.
It's 11:59, and I want to stay alive.
Pumping like a fugitive in cover from the night.
Take it down the freeway like a bullet to the ocean.
Wait until the morning, take tomorrow by the hand.
Take it down the highway like a rocket to the ocean.
We can run.
Today can last another million years.
Today could be the end of me.
It's 11:59, and I want to stay alive.
Hanging on a frequency, burning like a fire.
Boy, you've got the motion down.
It's getting late, I'm tired and I've lost control.
Don't leave me here.
Time is running out.
Take me down the highway like a rocket to the ocean.
We can run.
Today can last another million years.
Today could be the end of me.
It's 11:59, and I want to stay alive."
11:59 (Live In Dallas 1980)	https://www.allthelyrics.com/lyrics/blondie/1159_live_in_dallas_1980-lyrics-102573.html	Picture This Live	"Surf's up!
In the sun, I'm waiting for the day and having fun, in warm far away.
Moonlight nights, water seems so clear.
Ooh, city lights I'm still waiting here...
In the sun, it's for everyone.
In the sun, we're gonna have some fun.
In the sun, we're gonna shoot the tube.
I'll do it for you, my paka lola luau love.
New York isle is covered by gray.
Concrete pile, blues play my way.
Tropic haze, pineapple sky.
Oh, perfect wave, hurricane eye.
In the sun, it's for everyone.
In the sun, we're gonna have some fun.
In the sun, we're gonna shoot the tube.
I'll do it for you, my paka lola luau love.
In the sun, it's for everyone.
In the sun, we're gonna have some fun.
In the sun, we're gonna shoot the tube.
I'll do it for you, my paka lola luau love!
Where is my wave?
Where is my wave?
Where is my wave?
Where is my wave?"
99 Red Balloons	https://www.allthelyrics.com/lyrics/blondie/99_red_balloons-lyrics-1024308.html	-	"You and I in a little toy shop
buy a bag of balloons with the money we've got
Set them free at the break of dawn
'Til one by one, they were gone
Back at base, bugs in the software
Flash the message, ""Something's out there""
Floating in the summer sky
99 red balloons go by.
99 red balloons floating in the summer sky
Panic bells, it's red alert
There's something here from somewhere else
The war machine springs to life
Opens up one eager eye
Focusing it on the sky
Where 99 red balloons go by.
99 Decision Street, 99 ministers meet
To worry, worry, super-scurry
Call the troops out in a hurry
This is what we've waited for
This is it boys, this is war
The president is on the line
As 99 red balloons go by.
99 Knights of the air
ride super-high-tech jet fighters
Everyone's a Superhero
Everyone's a Captain Kirk
With orders to identify
To clarify and classify
Scramble in the summer sky
As 99 red balloons go by.
99 dreams I have had
In every one a red balloon
It's all over and I'm standin' pretty
In this dust that was a city
If I could find a souvenier
Just to prove the world was here...
And here is a red balloon
I think of you and let it go."
A Shark In Jet's Clothing	https://www.allthelyrics.com/lyrics/blondie/a_shark_in_jets_clothing-lyrics-102578.html	Blondie	"I always had my eyes on you
But you came from across the line
I had to make good time to see you
But you had to pay the fine
All the boys on my side knew that, you were the shark
If you were found on the borderline you'd be shot in the dark
Don't wear those clothes again they don't make it in this crowd
Don't go out DTK you'll wear your best suit in the ground
We're meeting in a neutral zone
The last car on the train
The love you brought shaking up my bones and crawling through our veins
We always met at the edge of a blade and we left at the end of the fight
Of all the girls you've played and you laid
Why did this one have to be white?
They're gonna get you at 12 o'clock high
Got their sights set low on you
You better believe me I wouldn't lie
We better quit before you're through
They're gonna getcha at 12 o'clock high
Got their sights set low on you
You better believe me I wouldn't lie
We better quit before you're through
Ohhh"
A Shark In Jet's Clothing Know But I Don't Know (Live In Philadelphia 1978)	https://www.allthelyrics.com/lyrics/blondie/a_shark_in_jets_clothing_know_but_i_dont_know_live_in_philadelphia_1978-lyrics-102580	Picture This Live	"I always had my eyes on you but you came from across the line.
I had to make good time to see you but you had to pay the fine.
All the boys on my side knew that you were the shark.
If you were found on the borderline you'd be a shot in the dark.
Don't wear those clothes again, they don't make it in this crowd.
Don't go all D.T.K., you'll wear your best suit in the ground.
Hey!
We're meeting in a neutral zone: the last car on the train.
The love you brought shaking up my bones and crawling through our veins.
We always met at the edge of a blade and we left at the end of the fight.
Of all the girls you've played and you laid why did this one have to be white?
They're gonna getcha at 12 o'clock high, got their sights set low on you.
You better believe me, I wouldn't lie.
We better quit before you're through!
Oh!
They're gonna getcha at 12 o'clock high, got their sights set low on you.
You better believe me.
I wouldn't lie.
We better quit before you're through!
Oh!
Clement Burke on drums.
Nigel Harrison, bass guitar.
Jimmy Destri keyboard.
Frank Infante, guitar.
Chris Stein, guitar.
I know but I don't know.
I know but I don't know.
I know but I don't know.
I know but I don't know.
I give but I don't get.
I will but I won't yet.
I lose but I don't bet.
I'm your dog but not your pet.
Arooo!
Now I know but I don't know.
Then I know but I don't care.
Then I see but I don't know.
I care but I don't care.
I could but I won't be.
You can but not with me.
It's all a mystery.
Locked out without a key.
Now I know but I don't know.
And I see but I don't know.
Now I care but I don't care.
I know but I don't know.
Now I know that you don't know.
And I care that you don't see.
I care but I don't care.
I don't care that you don't know."
Accidents Never Happen	https://www.allthelyrics.com/lyrics/blondie/accidents_never_happen-lyrics-102574.html	Eat To The Beat	"No I don't believe in luck
No I don't believe in circumstance no more
Accidents never happen in a perfect world
So I won't believe in luck
I saw you walking in the dark
So I slipped behind your footsteps for a while
Caught you turning round the block
Fancy meeting in a smaller world, after all
Accidents never happen, could have planned it all
Precognition in my ears
Accidents never happen in a perfect world
Complications disappear
Now you love me
I, yeah, I can tell
I never lied, I never cried
And you, you knew so well
Like the Magi on the hill
I can divinate your presence from afar
And I'll follow you until
I can bring you to a perfect world
Accidents never happen, could have planned it all
Precognition in my ears
Accidents never happen in a perfect world
Complications disappear
Accidents never happen in a perfect world
Accidents never happen
Accidents never happen in a perfect world
Accidents never happen"
Angel Eyes	https://www.allthelyrics.com/lyrics/blondie/angel_eyes-lyrics-102575.html	The Jazz Passengers: Individually Twisted	"So drink up all you people.
Order, order anything you please.
Have fun, all you happy people.
The drinks, and the laugh's, on me.
Pardon me, hehe, but I gotta run.
The fact's uncommonly clear.
I gotta find who's my number one and why my angel eyes ain't here.
'scuse me while I disappear."
Angels On The Balcony	https://www.allthelyrics.com/lyrics/blondie/angels_on_the_balcony-lyrics-102576.html	Autoamerican	"Afterglow in a distant row.
The door is open and the lights are cold.
The children come in here and they dare the ghost, like a fire burning in a stone.
Silent light in the theatre's sky.
Phantom cigarette and a silent cry.
The door swings open and it's cold outside.
Run and hide, run and hide.
They can still see him singing on the corner.
Singing songs that never fade away, fade into the kids that come along.
Memory in a silent seat.
Melody on a long retreat.
Like an angel on a balcony.
Like an angel on a balcony."
