song	link	album	lyrics
'Til I Fell In Love With You	https://www.allthelyrics.com/lyrics/bob_dylan/til_i_fell_in_love_with_you-lyrics-9108.html	Time Out Of Mind	"Well my nerves are exploding and my body's tense
I feel like the whole world gonna end up against the fence
I've been hit too hard, seen too much
Nothing can heal me now but your touch
I just don't know what I'm gonna do
I was all right 'til I fell in love with you.
Well, my house is on fire, burnin' to the sky
Well, I thought it would rain but the clouds passed by
And I feel like I'm comin' to the end of my way
I know God is my shield and he won't lead me astray
Still, I don't know what I'm gonna do
I was all right 'til I fell in love with you.
Boys in the street beginnin' to play
Girls like birds, flyin' away
When I'm gone you will remember my name
I'm gonna win my way to wealth and fame
Yet I just don't know what I'm gonna do
I was all right 'til I fell in love with you.
Well, junk's pilin' up, takin' up space
My eyes feel like they've fallen off my face
Sweat pourin' down, I'm starin' at the floor
I'm thinkin' about that girl who won't be back no more
I just don't know what to do
I was all right 'til I fell in love with you.
Well, I'm tired of talkin', I'm tired of tryin' to explain
My attemps to please ya, they were all in vain
Tomorrow night before the sun goes down
If I'm still among the livin' I'll be Dixie bound
Still, I just don't know what I'm gonna do
I was all right, 'til I fell in love with you."
10.000 Men	https://www.allthelyrics.com/lyrics/bob_dylan/10000_men-lyrics-9075.html	Under The Red Sky	"Ten thousand men on a hill,
Ten thousand men on a hill,
Some of 'm goin' down, some of 'm gonna get killed.
Ten thousand men dressed in oxford blue,
Ten thousand men dressed in oxford blue,
Drummin' in the morning, in the evening they'll be coming for you.
Ten thousand men on the move,
Ten thousand men on the move,
None of them doing nothin' that your mama wouldn't disapprove.
Ten thousand men digging for silver and gold,
Ten thousand men digging for silver and gold,
All clean shaven, all coming in from the cold.
Hey! Who could your lover be?
Hey! Who could your lover be?
Let me eat off his head so you can really see!
Ten thousand women all dressed in white,
Ten thousand women all dressed in white,
Standin' at my window wishing me goodnight.
Ten thousand men looking so lean and frail,
Ten thousand men looking so lean and frail,
Each one of 'em got seven wives, each one of 'em just out of jail.
Ten thousand women all sweepin' my room,
Ten thousand women all sweepin' my room,
Spilling my buttermilk, sweeping it up will a broom.
Ooh, baby, thank you for my tea!
Baby, thank you for my tea!
It's so sweet of you to be so nice to me."
2 X 2	https://www.allthelyrics.com/lyrics/bob_dylan/2_x_2-lyrics-500340.html	Under The Red Sky	"One by one, they followed the sun,
One by one, until there were none.
Two by two, to their lovers they flew,
Two by two, into the foggy dew.
Three by three, they danced on the sea,
Four by four, they danced on the shore,
Five by five, they tried to survive,
Six by six, they were playing with tricks.
Bridge #1:
How many paths did they try and fail?
How many of their brothers and sisters lingered in jail?
How much poison did they inhale?
How many black cats crossed their trail?
Seven by seven, they headed for heaven,
Eight by eight, they got to the gate,
Nine by nine, they drank the wine,
Ten by ten, they drank again.
Bridge #2:
How many tomorrow's have are they given away?
How many compared to yesterday?
How many more without any reward?
How many more can they afford?
Two by two, they stepped into the ark,
Two by two, they step in the dark.
Three by three, they're turning the key,
Four by four, they turn it some more,
One by one, they follow the sun,
Two by two, to another rendezvous."
4th Time Around	https://www.allthelyrics.com/lyrics/bob_dylan/4th_time_around-lyrics-8876.html	Blonde On Blonde	"Oh my name it is nothin'
My age it means less
The country I come from
Is called the Midwest
I's taught and brought up there
The laws to abide
And that land that I live in
Has God on its side.
Oh the history books tell it
They tell it so well
The cavalries charged
The Indians fell
The cavalries charged
The Indians died
Oh the country was young
With God on its side.
Oh the Spanish-American
War had its day
And the Civil War too
Was soon laid away
And the names of the heroes
I's made to memorize
With guns in their hands
And God on their side.
Oh the First World War, boys
It closed out its fate
The reason for fighting
I never got straight
But I learned to accept it
Accept it with pride
For you don't count the dead
When God's on your side.
When the Second World War
Came to an end
We forgave the Germans
And we were friends
Though they murdered six million
In the ovens they fried
The Germans now too
Have God on their side.
I've learned to hate Russians
All through my whole life
If another war starts
It's them we must fight
To hate them and fear them
To run and to hide
And accept it all bravely
With God on my side.
But now we got weapons
Of the chemical dust
If fire them we're forced to
Then fire them we must
One push of the button
And a shot the world wide
And you never ask questions
When God's on your side.
In a many dark hour
I've been thinkin' about this
That Jesus Christ
Was betrayed by a kiss
But I can't think for you
You'll have to decide
Whether Judas Iscariot
Had God on his side.
So now as I'm leavin'
I'm weary as Hell
The confusion I'm feelin'
Ain't no tongue can tell
The words fill my head
And fall to the floor
If God's on our side
He'll stop the next war."
A Fool Such As I	https://www.allthelyrics.com/lyrics/bob_dylan/a_fool_such_as_i-lyrics-8939.html	Dylan	"Now and then there's a fool such as I
Pardon me if I'm sentimental, came to say goodbye
Don't be angry, don't be angry with me, should I cry
When you are gone, I will dream a little dream as years go by
Now and then there is a fool, a fool such as I.
Now and then there's a fool such as I am over you
You taught me how to love and now you happened to be untrue
I am a fool but I love you, dear, yes I will until the day I die.
Now and then there is a fool, a fool such as I.
Pardon me if I'm sentimental, came to say goodbye
Don't be angry, don't be angry with me, should I cry
When you are gone, when you are gone, I will dream a little
I will dream as years go by
Now and then, now and then there is a fool, a fool such as I.
Now and then there's a fool, a fool such as I am over you
You taught me how to love and now you say that we are through
I am a fool, yes, but I love you dear, I will love you dear
Till the day, till the day I die
Now and then, now and then there is a fool, a fool such as I.
Now and then there is a fool, a fool such as I.
Now and then there is a fool, a fool such as I."
A Hard Rain's A-Gonna Fall	https://www.allthelyrics.com/lyrics/bob_dylan/a_hard_rains_agonna_fall-lyrics-8817.html	The Freewheelin' Bob Dylan	"Oh, where have you been, my blue-eyed son ?
And where have you been my darling young one ?
I've stumbled on the side of twelve misty mountains
I've walked and I've crawled on six crooked highways
I've stepped in the middle of seven sad forests
I've been out in front of a dozen dead oceans
I've been ten thousand miles in the mouth of a graveyard
And it's a hard, it's a hard, it's a hard, and it's a hard
It's a hard rain's a-gonna fall.
Oh, what did you see, my blue eyed son ?
And what did you see, my darling young one ?
I saw a newborn baby with wild wolves all around it
I saw a highway of diamonds with nobody on it
I saw a black branch with blood that kept drippin'
I saw a room full of men with their hammers a-bleedin'
I saw a white ladder all covered with water
I saw ten thousand takers whose tongues were all broken
I saw guns and sharp swords in the hands of young children
And it's a hard, it's a hard, it's a hard, and it's a hard
It's a hard rain's a-gonna fall.
And what did you hear, my blue-eyed son ?
And what did you hear, my darling young one ?
I heard the sound of a thunder, it roared out a warnin'
I heard the roar of a wave that could drown the whole world
I heard one hundred drummers whose hands were a-blazin'
I heard ten thousand whisperin' and nobody listenin'
I heard one person starve, I heard many people laughin'
Heard the song of a poet who died in the gutter
Heard the sound of a clown who cried in the alley
And it's a hard, it's a hard, it's a hard, it's a hard
And it's a hard rain's a-gonna fall.
Oh, who did you meet my blue-eyed son ?
Who did you meet, my darling young one ?
I met a young child beside a dead pony
I met a white man who walked a black dog
I met a young woman whose body was burning
I met a young girl, she gave me a rainbow
I met one man who was wounded in love
I met another man who was wounded and hatred
And it's a hard, it's a hard, it's a hard, it's a hard
And it's a hard rain's a-gonna fall.
And what'll you do now, my blue-eyed son ?
And what'll you do now my darling young one ?
I'm a-goin' back out 'fore the rain starts a-fallin'
I'll walk to the deepths of the deepest black forest
Where the people are a many and their hands are all empty
Where the pellets of poison are flooding their waters
Where the home in the valley meets the damp dirty prison
Where the executioner's face is always well hidden
Where hunger is ugly, where souls are forgotten
Where black is the color, where none is the number
And I'll tell and think it and speak it and breathe it
And reflect it from the mountain so all souls can see it
Then I'll stand on the ocean until I start sinkin'
But I'll know my songs well before I start singin'
And it's a hard, it's a hard, it's a hard, and it's a hard
It's a hard rain's a-gonna fall."
A Satisfied Mind	https://www.allthelyrics.com/lyrics/bob_dylan/a_satisfied_mind-lyrics-9005.html	Saved	"How many times have you heard someone say
If I had his money I'd do things my way
Hmm, but little they know
Hmm, it's so hard to find
One rich man in ten with a satisfied mind.
Hmm, once I was wadding in fortune and fame
Everything that I dreamed of to get a start in lifes game
But suddenly it happened
Hmm, I lost every dime
But I'm richer by far with a satisfied mind.
Hmm, when my life is over and my time has run out
My friends and my love ones
I'll leave there ain't no doubt
But one thing for certain
When it comes my time
I'll leave this old world with a satisfied mind"
Abandoned Love	https://www.allthelyrics.com/lyrics/bob_dylan/abandoned_love-lyrics-67130.html	Biograph	"I can hear the turning of the key
I've been deceived by the clown inside of me.
I thought that he was righteous but he's vain
Oh, something's a-telling me I wear the ball and chain.
My patron saint is a-fighting with a ghost
He's always off somewhere when I need him most.
The spanish moon is rising on the hill
But my heart is a-tellin? me I love ya still.
I come back to the town from the flaming moon
I see you in the streets, I begin to swoon.
I love to see you dress before the mirror
Won't you let me in your room one time ?fore I finally disappear?
Everybody's wearing a disguise
To hide what they've got left behind their eyes.
But me, I can't cover what I am
Wherever the children go I'll follow them.
I march in the parade of liberty
But as long as I love you I'm not free.
How long must I suffer such abuse
Won't you let me see you smile one time before I turn you loose?
I've given up the game, I've got to leave,
The pot of gold is only make-believe.
The treasure can't be found by men who search
Whose gods are dead and whose queens are in the church.
We sat in an empty theater and we kissed,
I asked ya please to cross me off-a your list.
My head tells me it's time to make a change
But my heart is telling me I love ya but you're strange.
One more time at midnight, near the wall
Take off your heavy make-up and your shawl.
Won't you descend from the throne, from where you sit?
Let me feel your love one more time before I abandon it."
Absolutely Sweet Marie	https://www.allthelyrics.com/lyrics/bob_dylan/absolutely_sweet_marie-lyrics-8875.html	Blonde On Blonde	"Well, your railroad gate, you know I just can't jump it
Sometimes it gets so hard, you see
I'm just sitting here beating on my trumpet
With all these promises you left for me
But where are you tonight, sweet Marie ?
Well, I waited for you when I was half sick
Yes, I waited for you when you hated me
Well, I waited for you inside of the frozen traffic
When you knew I had some other place to be
Now where are you tonight, sweet Marie ?
Well, anybody can be just like me, obviously
But then, now again, not too many can be like you, fortunately.
Well, six white horses that you did promise
Were fin'ly delivered down to the penitentiary
But to live outside the law, you must be honest
I know you always say that you agree
But where are you tonight, sweet Marie ?
Well I don't know how it happened
But the river-boat captain he knows my fate
But ev'rybody else, even yourself
They're just gonna have to wait.
Well, I got the fever down in my pockets
The Persian drunkard, he follows me
Yes, I can take him to your house but I can't unlock it
You see, you forgot to leave me with the key
Oh, where are you tonight, sweet Marie ?
Now, I been in jail when all my mail showed
That a man can't give his address out to bad company
And now I stand here lookin' at your yellow railroad
In the ruins of your balcony
Wond'ring where you are tonight, sweet Marie ?"
Ain't A-gonna Grieve	https://www.allthelyrics.com/lyrics/bob_dylan/aint_agonna_grieve-lyrics-67189.html	Love And Theft	"Well, I ain't a-gonna grieve no more, no more
Ain't a-gonna grieve no more, no more
Ain't a-gonna grieve no more, no more
And ain't a-gonna grieve no more.
Come on brother, join the band,
Come on sisters, clap your hands,
Tell everybody that's in the land,
You ain't a-gonna grieve no more.
Well, I ain't a-gonna grieve no more, no more
Ain't a-gonna grieve no more, no more
Ain't a-gonna grieve no more, no more
And ain't a-gonna grieve no more.
Brown and blue and white and black,
All one color on the one-way track,
We got this far and ain't a-goin' back
And ain't a-gonna grieve no more.
Well, I ain't a-gonna grieve no more, no more
Ain't a-gonna grieve no more, no more
Ain't a-gonna grieve no more, no more
I ain't a-gonna grieve no more.
We're gonna notify your next of kin,
You're gonna raise the roof until the house falls in.
If you get knocked down get up again,
We ain't a-gonna grieve no more.
Well, I ain't a-gonna grieve no more, no more
Ain't a-gonna grieve no more, no more
Ain't a-gonna grieve no more, no more
I ain't a-gonna grieve no more.
We'll sing this song all night long,
Sing it to my baby from midnight on.
She'll sing it to you when I'm dead and gone,
Ain't a-gonna grieve no more.
Well, I ain't a-gonna grieve no more, no more
Ain't a-gonna grieve no more, no more
Ain't a-gonna grieve no more, no more
I ain't a-gonna grieve no more."
