song	link	album	lyrics
A Feast Of Friends	https://www.allthelyrics.com/lyrics/doors/a_feast_of_friends-lyrics-827905.html	An American Prayer	"Wow, I'm sick of doubt
Live in the light of certain
South
Cruel bindings.
The servants have the power
dog-men and their mean women
pulling poor blankets over
our sailors
I'm sick of dour faces
Staring at me from the TV
Tower, I want roses in
my garden bower; dig?
Royal babies, rubies
must now replace aborted
Strangers in the mud
These mutants, blood-meal
for the plant that's plowed.
They are waiting to take us into
the severed garden
Do you know how pale and wanton thrillful
comes death on a strange hour
unannounced, unplanned for
like a scaring over-friendly guest you've
brought to bed
Death makes angels of us all
and gives us wings
where we had shoulders
smooth as raven's
claws
No more money, no more fancy dress
This other kingdom seems by far the best
until it's other jaw reveals incest
and loose obedience to a vegetable law.
I will not go
Prefer a Feast of Friends
To the Giant Family."
A Little Game	https://www.allthelyrics.com/lyrics/doors/a_little_game-lyrics-448761.html	Absolutely Live	"Once I had a little game
I liked to crawl back in my brain
I think you know the game I mean
I mean the game called 'go insane'
Now you should try this little game
Just close your eyes forget your name
Forget the world, forget the people
And we'll erect a different steeple.
This little game is fun to do.
Just close your eyes, no way to lose.
And I'm right here, I'm going too.
Release control, we're breaking through."
Adolf Hitler	https://www.allthelyrics.com/lyrics/doors/adolf_hitler-lyrics-60560.html	The Doors	"Adolf Hitler is still alive
Ooooogh - sssssh
I slept with her last night
Yeah
Come out from behind
That false mustache, Adolf
I know your're in there
Ha, ha, ha, ha, ha, ha
You favor life
He sides with Death
I straddle the fence
And my balls hurt"
Adolph Hitler (Live At The Boston Gardens, Boston, 1970)	https://www.allthelyrics.com/lyrics/doors/adolph_hitler_live_at_the_boston_gardens_boston_1970-lyrics-600962.html	-	"Adolf Hitler is still alive
Ooooogh - sssssh
I slept with her last night
yeah
Come out from behind
that false mustache, Adolf
I know your're in there
ha, ha, ha, ha, ha, ha
You favor life
He sides with Death
I straddle the fence
and my balls hurt"
Alabama Song	https://www.allthelyrics.com/lyrics/doors/alabama_song-lyrics-324044.html	Best of the Doors [2000 Double Disc]	"Well, show me the way, To the next whiskey bar
Oh, don't ask why, Oh, don't ask why
Show me the way, To the next whiskey bar
Oh, don't ask why, Oh, don't ask why
For if we don't find, The next whiskey bar
I tell you we must die, I tell you we must die
I tell you, I tell you, I tell you we must die
Oh, moon of Alabama, We now must say goodbye
We've lost our good old mama
And must have whiskey, oh, you know why
Oh, moon of Alabama
We now must say goodbye
We've lost our good old mama
And must have whiskey, oh, you now why
Well, show me the way, To the next little girl
Oh, don't ask why, Oh, don't ask why
Show me the way, To the next little girl
Oh, don't ask why, Oh, don't ask why
For if we don't find, The next little girl
I tell you we must die, I tell you we must die
I tell you, I tell you, I tell you we must die
Oh, moon of Alabama, We now must say goodbye
We've lost our good old mama
And must have whiskey, oh, you know why"
Alabama Song (Whisky Bar)	https://www.allthelyrics.com/lyrics/doors/alabama_song_whisky_bar-lyrics-26366.html	The Doors	"Well, show me the way
To the next whisky bar
Oh, don't ask why
Oh, don't ask why
Show me the way
To the next whisky bar
Oh, don't ask why
Oh, don't ask why
For if we don't find
The next whisky bar
I tell you we must die
I tell you we must die
I tell you, I tell you
I tell you we must die
Oh, moon of Alabama
We now must say goodbye
We've lost our good old mama
And must have whisky, oh, you know why
Oh, moon of Alabama
We now must say goodbye
We've lost our good old mama
And must have whisky, oh, you know why
Well, show me the way
To the next little girl
Oh, don't ask why
Oh, don't ask why
Show me the way
To the next little girl
Oh, don't ask why
Oh, don't ask why
For if we don't find
The next little girl
I tell you we must die
I tell you we must die
I tell you, I tell you
I tell you we must die
Oh, moon of Alabama
We now must say goodbye
We've lost our good old mama
And must have whisky, oh, you know why"
American Night	https://www.allthelyrics.com/lyrics/doors/american_night-lyrics-60584.html	An American Prayer	"All hail the American night!
What was that?
I don't know
Sounds like guns...thunder.
...Alright! Alright! Alright!
Hey, listen! Listen! Listen, man! listen, man!
I don't know how many you people believe in astrology...
Yeah, that's right...that's right, baby, I...I am a
Sagittarius
The most philosophical of all the signs
But anyway, I don't believe in it
I think it's a bunch of bullshit, myself
But I tell you this, man, I tell you this
I don't know what's gonna happen, man, but I wanna have
My kicks before the whole shithouse goes up in flames
Alright!"
An American Prayer	https://www.allthelyrics.com/lyrics/doors/an_american_prayer-lyrics-258847.html	The Doors	"[I]
Do you know the warm progress under the stars?
Do you know we exist?
Have you forgotten the keys to the Kingdom?
Have you been borne yet & are you alive?
Let's reinvent the gods, all the myths of the ages
Celebrate symbols from deep elder forests
[Have you forgotten the lessons of the ancient war]
We need great golden copulations
The fathers are cackling in trees of the forest
Our mother is dead in the sea
Do you know we are being led to slaughters by placid admirals
& that fat slow generals are getting obscene on young blood
Do you know we are ruled by T.V.
The moon is a dry blood beast
Guerilla bands are rolling numbers in the next block of green vine
Amassing for warfare on innocent herdsmen who are just dying
O great creator of being grant us one more hour to perform our art & perfect our lives
The moths & atheists are doubly divine & dying
We live, we die & death not ends it
Journey we more into the Nightmare
Cling to life our passion'd flower
Cling to cunts & cocks of despair
We got our final vision by clap
Columbus' groin got filled w/ green death
(I touched her thigh & death smiled)
We have assembled inside this ancient & insane theatre
To propagate our lust for life & flee the swarming wisdom of the streets
The barns are stormed
The windows kept & only one of all the rest
To dance & save us
W/ the divine mockery of words
Music inflames temperament
(When the true King's murderers are allowed to roam free a 1000 magicians arise in the land)
Where are the feasts
We were promised
Where is the wine
The New Wine
(dying on the vine)
Resident mockery give us an hour for magic
We of the purple glove
We of the starling flight & velvet hour
We of arabic pleasure's breed
We of sundome & the night
Give us a creed
To believe
A night of Lust
Give us trust in
The Night
Give of color
Hundred hues
A rich Mandala
For me & you & for your silky pillowed house
A head, wisdom & a bed
Troubled decree
Resident mockery
Has claimed thee
We used to believe in the good old days
We still receive In little ways
The Things of Kindness & unsporting brow
Forget & allow
Did you know freedom exists in a school book
Did you know madmen are running our prison
W/in a jail, w/in a gaol, w/in a white free protestant
Maelstrom
We're perched headlong
On the edge of boredom
We're reaching for death
On the end of a candle
We're trying for something
That's already found us
We can invent Kingdoms of our own
Grand purple thrones, those chairs of lust
& love we must, in beds of rust
Steel doors lock in prisoner's screams
& muzak, AM, rocks their dreams
No black men's pride to hoist the beams
While mocking angels sift what seems
To be a collage of magazine dust
Scratched on foreheads of walls of trust
This is just jail for those who must
Get up in the morning & fight for such unusable standards
While weeping maidens show-off penury & pout ravings for a mad staff
Wow, I'm sick of doubt
Live in the light of certain
South
Cruel bindings
The servants have the power dog-men & their mean women
Pulling poor blankets over our sailors
(& where were you in our lean hour)
Milking your moustache?
Or grinding a flower?
I'm sick of dour faces
Staring at me from the T.V.
Tower. I want roses in my garden bower; dig?
Royal babies, rubies must now replace aborted
Strangers in the mud
These mutants, blood-meal
For the plant that's plowed
They are waiting to take us into the severed garden
Do you know how pale & wanton thrillful
Comes death on strange hour
Unannounced, unplanned for like a scaring over-friendly guest you've brought to bed
Death makes angels of us all & gives us wings where we had shoulders smooth as raven's claws
No more money, no more fancy dress
This other Kingdom seems by far the best until its other jaw reveals incest & loose obedience to a vegetable law
I will not go
Prefer a Feast of Friends
To the Giant family
[II]
Great screaming Christ
Upsy-daisy
Lazy Mary will get you up upon a Sunday morning
""The movie will begin in 5 moments""
The mindless Voice announced
""All those unseated, will await The next show""
We filed slowly, languidly into the hall. The auditorium was vast, & silent.
As we seated & were darkened
The Voice continued:
""The program for this evening is not new. You have seen This entertainment thru & thru.
You've seen your birth, your life & death; you might recall all of the rest
- (did you have a good world when you died?) - enough to base a movie on?""
An iron chuckle rapped our minds like a fist.
I'm getting out of here
Where're you going?
To the other side of the morning
Please don't chase the clouds
Pagodas, temples
Her cunt gripped him
Like a warm friendly hand.
""It's all right.
All your friends are here.""
When can I meet them?
""After you've eaten""
I'm not hungry
""O, we meant beaten""
Silver stream, silvery scream,
Impossible concentration
Here come the comedians
Look at them smile
Watch them dance
An indian mile
Look at them gesture
How aplomb
So to gesture everyone
Words dissemble
Words be quick
Words resemble walking sticks
Plant them
They will grow
Watch them waver so
I'll always be
A word-man
Better than a birdman
But I'll charge
Won't get away
W/out lodging a dollar
Shall I say it again
Aloud, you get the point
No food w/out fuel's gain
I'll be, the irish loud
Unleashed my beak
At peak of powers
O girl, unleash
Your worried comb
O worried mind
Sin in the fallen
Backwoods by the blind
She smells debt
On my new collar
Arrogant prose
Tied in a network of fast quest
Hence the obsession
Its quick to admit
Fats borrowed rhythm
Woman came between them
Women of the world unite
Make the world safe
For a scandalous life
Hee Heee
Cut your throat
Life is a joke
Your wife's in a moat
The same boat
Here comes the goat
Blood Blood Blood Blood
They're making a joke
Of our universe
[III]
Matchbox
Are you more real than me
I'll burn you, & set you free
Wept bitter tears
Excessive courtesy
I won't forget
[IV]
A hot sick lava flowed up,
Rustling & bubbling.
The paper-face.
Mirror-mask, I love you mirror.
He had been brainwashed for 4 hrs.
The LT. puzzled in again
""ready to talk""
""No sir"" - was all he'd say.
Go back to the gym.
Very peaceful
Meditation
Air base in the desert
Looking out venetian blinds
A plane
A desert flower
Cool cartoon
The rest of the World
Is reckless & dangerous
Look at the
Brothels
Stag films
Exploration
[V]
A ship leaves port
Mean horse of another thicket
Wishbone of desire
Decry the metal fox"
An American Prayer - Hour For Magic - Freedom Exists - A Feast Of Friends	https://www.allthelyrics.com/lyrics/doors/an_american_prayer_hour_for_magic_freedom_exists_a_feast_of_friends-lyrics-600963.html	An American Prayer	"Do you know the warm progress
Under the stars?
Do you know we exist?
Have you forgotten the keys
To the kingdom
Have you been borne yet
& are you alive?
Let's reinvent the gods, all teh myths
Of the ages
Celebrate symbols from deep elder forests
[Have you forgotten the lessons
Of the ancient war]
We need great golden copulations
The fathers are cackling in trees
Of the forest
Our mother is dead in the sea
Do you know we are being led to
Slaughters by placid admirals
& that fat slow generals are getting
Obscene on young blood
Do you know we are ruled by T.V.
The moon is dry blood beast
Guerrilla bands are rolling numbers
In the next block of green vine
Amassing for warfare on innocent
Herdsman who are just dying
O great creator of being
Grant us one more hour to
Perform our art
& perfect our lives
The moths & atheists are doubly divine
& dying
We live, we die
& death not ends it
Journey we more into the
Nightmare
Cling to life
Our passion'd flower
Cling to Cunts & cocks
Of despair
We got our final vision
By clap
Columbus groin got
Filled w/green death
(I touched her thigh
& death smiled)
We have assembled inside this ancient
& insane theatre
To propagate our lust for life
& flee the swarming wisdom
Of the streets
The barns are stormed
The windows kept
& only one of all the rest
To dance & save us
W/the divine mockery
Of words
Music inflames temperament
(When the true King's murderers
Are allowed to roam free
A 1000 Magicians arise in the land)
Where are the feasts
We are promised
Where is the wine
The New Wine
(dying on the vine)
Resident mockery
Give us an hour for magic
We of the purple glove
We of the starling flight
& velvet hour
We of arabic pleasures's breed
We of sundome & the night
Give us a creed
To believe
A nightr of lust
Give us trust in
The Night
Give of color
Hundred hues
A rich mandala
For me & for you
& for your silky
Pillowed house
A head, wisdom
& a bed
Troubled decree
Resident mockery
Has claimed thee
We used to believe
In the good old days
We still receive
In little ways
The things of Kindness
& unsporting brow
Forget & allow
Did you know freedom exists
In school books
Did you know madmen are
Running our prisons
W/in a jail, w/in a gaol
W/in a white free protestant
Maelstrom
We're perched headlong
On the edge of boredom
We're reaching for death
On the end of a candle
We're trying for something
That's already found us
Wow, I'm sick of doubt
Live in the light of certain
South
Cruel bindings
The sevants have the power
Dog-men & their mean women
Pulling poor blankets over
Our sailors
I'm sick of dour faces
Starong at me from the T.V.
Tower, I want roses in
My garden bower; dig?
Royal babies, rubies
Must now replace aborted
Strangers in the mud
These mutants, blood-meal
For the plant that's plowed
They are waiting to take us into
The severed garden
Do you know how pale & wanton thrillful
Comes death on a stranger hour
Unannounced, unplanned for
Like a scaring over-friendly guest you've
Brought to bed
Death makes angels of us all
& gives us wings
Where we had shoulders
Smooth as raven's
Claws
No more money, no more fancy dress
This other kingdom seems by far the best
Until its other jaw reveals incest
& loose obedience to a vegetable law
I will not go
Prefer a feast of friends
To the Giant family"
Angels And Sailors	https://www.allthelyrics.com/lyrics/doors/angels_and_sailors-lyrics-60588.html	An American Prayer	"Angels and sailors
Rich girls
Backyard fences
Tents
Dreams watching each other narrowly
Soft luxuriant cars
Girls in garages, stripped
Out to get liquor and clothes
Half gallons of wine and six-packs of beer
Jumped, humped, born to suffer
Made to undress in the wilderness.
I will never treat you mean
Never start no kind of scene
I'll tell you every place and person that I've been.
Always a playground instructor, never a killer
Always a bridesmaid on the verge of fame or over
He manouvered two girls into his hotel room
One a friend, the other, the young one, a newer stranger
Vaguely Mexican or Puerto Rican
Poor boys thighs and buttock scarred by a father's belt
She's trying to rie
Story of her boyfriend, of teenage stoned death games
Handsome lad, dead in a car
Confusion
No connections
Come 'ere
I love you
Peace on earth
Will you die for me?
Eat me
This way
The end
I'll always be true
Never go out, sneaking out on you, babe
If you'll only show me Far Arden again.
I'm surprised you could get it up
He whips her lightly, sardonically, with belt
Haven't I been through enough? she asks
Now dressed and leaving
The Spanish girl begins to bleed
She says her period
It's Catholic heaven
I have an ancient Indian crucifix around my neck
My chest is hard and brown
Lying on stained, wretched sheets with a bleeding virgin
We could plan a murder
Or start a religion."
