song	link	album	lyrics
40 Ft	https://www.allthelyrics.com/lyrics/franz_ferdinand/40_ft-lyrics-422591.html	Album: Franz Ferdinand	"As I glance once upon the foam
40 feet beneath my feet
The coldest calm falls
Through the molten veins
Cooling all the blood to slush
That congeals around the brain
La la la
40 feet remain
Salt scales upon my drying arms
Burn my back beneath the sun
But I am cold beneath the burning rays
Looking down, looking down
Down, down again
La la la
40 feet remain"
All For You Sophia	https://www.allthelyrics.com/lyrics/franz_ferdinand/all_for_you_sophia-lyrics-468832.html	Album: Franz Ferdinand	"Bang bang, Gavrilo Princip
Bang bang, shoot me Gavrilo
Bang bang, the first six are for you
Bang bang, the seventh is for me
Bang bang, Gavrilo Princip
Bang bang, Europe's going to weep
All for you, all for you, all for you, Sophia (x4)
Bang bang, history's complete
Bang bang, shoot me Gavrilo
Bang bang, the first six are for you
Bang bang, the seventh is for me
Bang bang, Gavrilo Princip
Bang bang, shoot me Gavrilo
All for you, all for you, all for you, Sophia (x4)
The Black Hand holds the gun
The devil takes his run
Urban, take the Appel Quay
It's June the twenty-eighth
The seventh was for me
Bang bang, Gavrilo Princip
Bang bang, shoot me Gavrilo
Bang bang, the first six are for you
Bang bang, the seventh is for me
Bang bang, Gavrilo Princip
Bang bang, shoot me Gavrilo"
Auf Acshe	https://www.allthelyrics.com/lyrics/franz_ferdinand/auf_acshe-lyrics-422594.html	Album: Franz Ferdinand	"You see her, you can't touch her
You hear her, you can't hold her
You want her, you can't have her
You want to, but she won't let you
You see her, you can't touch her
You hear her, you can't hold her
You want her, you can't have her
You want to, but she won't let you
She's you're not so special so look what you've done, boy
She's you're not so special so look what you've done, boy
She's you're not so special so look what you've done
Now you wish she'd never come back here again
Oh, never come back here again
You see her, you can't touch her
You hear her, you can't hold her
You want her, you can't have her
You want to, but she won't let you
You see her, you can't touch her
You hear her, you can't hold her
You want her, you can't have her
You want to, but she won't let you
She's you're not so special so look what you've done, boy
She's you're not so special so look what you've done, boy
She's you're not so special so look what you've done"
Better On Holiday	https://www.allthelyrics.com/lyrics/franz_ferdinand/better_on_holiday-lyrics-468831.html	-	"It's always better on holiday
That's why we only work when we need the money
Jacqueline was seventeen and working on the desk of the poetry library
When she caught the eye behind Ivor's spectacle
They shared tea, ideas and passions
His eyes forgot the face they were peering from
When they peered upon her face
Well, you know that face as well as I do:
Elastic youth and vitality, but when she returned the gaze
She returned the face that he was staring from
Gregor was down, kicked again and again by city centre neds
""Look, I'm so drunk, I don't give a fuck - I don't mind if you kill me""
At which point he claims angels dragged him into the back of a Ford Sierra
And dumped him on Sauchiehall Street"
Cheating On You	https://www.allthelyrics.com/lyrics/franz_ferdinand/cheating_on_you-lyrics-433960.html	Album: Franz Ferdinand	"Goodbye girl, because I'm lonely
Goodbye girl, it isn't over
Goodbye girl, because it's only love
Goodbye girl, you know you want me
Goodbye girl, yes I'm a loser
Goodbye girl, you know it's only love
I'm cheating on you, yeah
I'm cheating on you, yeah
I'm cheating on you, yeah
You're cheating on me
Goodbye girl, you are are the only one
Goodbye girl, I know you want me
Goodbye girl, you are the only love
Goodbye girl, now if you're lonely
Goodbye girl, why don't you join me
Goodbye girl, you know it's only love
I'm cheating on you, yeah
I'm cheating on you, yeah
I'm cheating on you, yeah
I'm cheating on me
Oh, watch out! Watch out!
I'm cheating on you!
Goodbye girl, goodbye girl
Goodbye girl, goodbye girl"
Come On Home	https://www.allthelyrics.com/lyrics/franz_ferdinand/come_on_home-lyrics-422592.html	Album: Franz Ferdinand	"Although my lover lives
In a place that I can't live
I kinda find I like a life
This lonely
It rips and pierces me
In places i cant see
I love the rip of nerves
The rip that wakes me
So I'm dissatisfied
I love dissatisfied
I love to feel there's always more that I need
So come on home
So come on home
So come on - home home
You're where you want to be
I'm where i want to be
Come on we're chasing
Everything we've ever wanted
Replace you easily
Replace pathetically
I flirt with every flighty thing
That falls my way
But how I needed you
When I needed you
Let's not forget
We are so strong
So bloody strong
Come on home
So come on home
So come on - home, home
Moon light falls
Upon your perfect skin
Falls and you draw back again
Falls and this is how I felt
And I cannot forget
And I cannot forget
Come on home
So come on home
But don't forget to leave"
Darts Of Pleasure	https://www.allthelyrics.com/lyrics/franz_ferdinand/darts_of_pleasure-lyrics-422593.html	Album: Franz Ferdinand	"You are the latest contender
You are the one to remember
You are the villain who sends her
Light or dark, fantastic passion
I know that you will surrender
I know that you will surrender
I want this fantastic passion
We'll have fantastic passion
You can feel my lips undress your eyes
Undress your eyes, undress your eyes
Words of love and words so leisured
Words of poisoned darts of pleasure
Died... and so you died
You are the latest adventure
You're an emotion avenger
You are the devil that sells her
Light or dark, fantastic passion
I know that you will surrender
I know that you will surrender
I want this fantastic passion
We'll have fantastic passion
You can feel my lips undress your eyes
Undress your eyes, undress your eyes
Skin can feel my lips they tingle - tense anticipation
This one is an easy one, feel the word and melt upon it
Words of love and words so leisured
Words of poisoned darts of pleasure
Died and so you died
[German]
Ich heisse Superfantastisch!
Ich trinke Schampus mit Lachsfisch!
Ich heisse Su-per-fan-tas-tisch!"
Do You Want To	https://www.allthelyrics.com/lyrics/franz_ferdinand/do_you_want_to-lyrics-422590.html	Album: Franz Ferdinand	"Oh well I woke up tonight and said I
I'm gonna make somebody love me
I'm gonna make somebody love me
And now I know, now I know, now I know
I know that it's you
You're lucky, lucky
You're so lucky!
Oh well do you, do you do you want to?
Oh well do you, do you do you want to, want to go
Where I've never let you before?
Oh well do you, do you do you want to?
Oh well do you, do you do you want to, want to go
Where I've never let you before?
Well he's a friend and he's so proud of you
He's a friend and I knew him before you, oh yeah
Well he's a friend and he's so proud of you
You're famous friend well I blew him before you, oh yeah
Oh well do you, do you do you want to?
Oh well do you, do you do you want to, want to go
Where I've never let you before?
Oh well do you, do you do you want to?
Oh well do you, do you do you want to, want to go
Where I've never let you before?
Well here we are at the transmission party
I love your friends they're all so arty, oh yeah
Oh well I woke up tonight and said I
I'm gonna make somebody love me
I'm gonna make somebody love me
And now I know, now I know, now I know
I know that it's you
You're lucky, lucky
You're so lucky!
Oh well do you, do you do you want to?
Oh well do you, do you do you want to, want to go
Where I've never let you before?
Oh lucky lucky
You're so lucky
Lucky lucky
You're so lucky
Lucky lucky
You're so lucky
Lucky lucky
You're so lucky
Lucky lucky
You're so lucky
Oh lucky lucky
You're so lucky
Yeah"
Don`t Start	https://www.allthelyrics.com/lyrics/franz_ferdinand/dont_start-lyrics-453827.html	Album: Unreleased	"There's only wind and dust to follow
Your footsteps on the run
You know me, know when I'm without you
I swear my heart burns in the sun
Baby, don't start walking away
Stop walking away
Start coming around and around again
Don't start walking away
Stop walking away
Start coming around and around again
I see you in your glasses clearly
Your shades are blinding me, I say
I miss you most when you are with me
I miss your missing me each day
Baby, don't start walking away
Stop walking away
Start coming around and around again
Don't start walking away
Stop walking away
Start coming around and around again"
Dream Again	https://www.allthelyrics.com/lyrics/franz_ferdinand/dream_again-lyrics-1303529.html	Album: Tonight: Franz Ferdinand	"Don't be afraid if you hear voices
Or feel the sweet air
Spoken upon you
Sometimes the sound
Of a thousand
Whispering words
Of Hope will reassure
Show me the future
Will see u s join together
If the oceans split
Or the mountains sigh
Then I
Will keep on dreaming
I live to dream again
Don't be afraid if you're descending
The deepest despairs
Without a handrail to guide you
Sometimes the sound
Of a thousand
Whispering words
Can confuse
But when you're sleeping
They shift and slide together
Bring meaning
To the canyon's cry
So I
I keep on dreaming
I live to dream again
Sometimes the sound
Of a thousand
Whispers are where
You live a little fear
But feel the pressure
I feel us dream together
I feel no fear
I feel no fire
Oh I
I keep on dreaming
I live to dream again"
