song	link	album	lyrics
14 Years	https://www.allthelyrics.com/lyrics/guns_n_roses/14_years-lyrics-28080.html	Album: Use Your Illusion II	"I try and feel the sunshine
You bring the rain
You try and hold me down
With your complaints
You cry and moan and complain
You whine an tear
Up to my neck in sorrow
The touch you bring
You just don't step inside to
14 years
So hard to keep my own head...
That's what I say
You know...I've been the beggar...
I've played the thief
I was the dog...they all tried to beat
But it's been
14 years of silence
It's been
14 years of pain
It's been
14 years that are gone forever
And I'll never have again
Your stupid girlfriends tell you
That I'm to blame
Well they're all used-up has-beens
Out of the game
This time I'll have the last word
You hear what I say
I tried to see it your way
It won't work today
You just don't step inside to
14 years
So hard to keep my own head...
That's what I say
You know...I've been the dealer...
Hangin' on your street
I was the dog...they all tried to beat
But it's been
14 years of silence
It's been
14 years of pain
It's been
14 years that are gone forever
And I'll never have again
Bullshit and contemplation
Gossip's their trade
If they knew half the real truth
What would they say
Well I'm past the point of concern
It's time to play
These last 4 years of madness
Sure put me straight
Don't get back 14 years
In just one day
So hard to keep my own head
Just go away
You know...just like a hooker she said
Nothin's for free
Oh I tried to see it your way
I tried to see it your way"
Ain't It Fun	https://www.allthelyrics.com/lyrics/guns_n_roses/aint_it_fun-lyrics-28098.html	Album: The Spaghetti Incident?	"Ain't it fun when you're always on the run
Ain't it fun when your friends despise what you become
Ain't it fun when you get so high
Well... that you, you just can't come
Ain't it fun when you know that you gonna die young
It's such fun
Good fun
Such fun
Such fun
Aah such fun
Such fun
Such fun aah
Yeah fun,
Just fun
Such...
Ain't it fun when you taking care of number one
Ain't it fun when you feel like you just gotta get a gun
Ain't it fun when you just can't seem to find your tounge
Cause you stuck it too deep into something that really stung
It's such fun, ah
Well, so good to me, they spit right in my face
I didn't even feel it
It was such a disgrace
I punched my fist right through the glass
I didn't even feel it
It happened so fast
Such fun
Such fun
Such fun
Ah such fun
Such fun
Such fun
Ah such fun
Ain't it fun when you tell her she's just a *****
Ain't it fun when you she splits you and leaves you on the bum
Well, ain't it fun when you've broken up every band that you've ever begun
Ain't it fun when you know that you're gonna die young
It's such fun
Such fun [x 13]"
Anything Goes	https://www.allthelyrics.com/lyrics/guns_n_roses/anything_goes-lyrics-28053.html	Album: Appetite For Destruction	"I've been thinkin' 'bout
Thinkin' 'bout sex
Always hungry for somethin'
That I haven't had yet
Maybe baby you got something to lose
Well I got somethin', I got somethin' for you
My way - your way
Anything goes tonight
My way - your way
Anything goes
Panties 'round your knees
With your ass in debris
Doin' dat grind with a push and squeeze
Tied up, tied down, up against the wall
Be my rubbermade baby
An' we can do it all
My way - your way
Anything goes tonight"
Attitude	https://www.allthelyrics.com/lyrics/guns_n_roses/attitude-lyrics-28101.html	Album: The Spaghetti Incident?	"Yeah!
Attitude
'tsa fuckin' attitude
I can't believe what ya say to me
You got some attitude
Inside that bitter brain
There's gotta be a whore
If you don't shut your mouth
You're gonna feel the floor, yeah!
Attitude, what you got's a fuckin' attitude
Attitude is what you got's a fuckin' attitude
Some fuckin' attitude
Yeah, right
Inside that bitter brain
There's gotta be a whore
If you don't shut your mouth
You're gonna feel the mother fuckin' guitar!
Oh, attitude
'tsa fuckin' attitude
I can't believe what ya say to me
You got some attitude
Oh, attitude
'tsa fuckin' attitude
I can't believe what ya say to me
You got some attitude
Yeah!
Yeah!
Yeah!"
Back OFF Bitch	https://www.allthelyrics.com/lyrics/guns_n_roses/back_off_bitch-lyrics-28070.html	Album: Use Your Illusion I	"Oh baby, pretty baby
Oh honey, you let me down honey
I ain't playin' childhood games
no more
I said it's time for me
to even the score
So stake your claim,
your claim to fame
But baby call another neme
When you feel the fire,
and taste the flame
Back off, back off bitch
Down in the gutter dyin' in the ditch
You better back off, back off bitch
Face of an angel with the love of a witch
Back off, back off bitch
Back off, back off bitch
Makin' love
Cheap heartbreaker, broken backed,
Nasty ballbreaker, stay out of my bed, outta my head
If it's lovin' you,
I'm better off dead
Back off, back off bitch
Down in the gutter dyin' in the ditch
You better back off, back off bitch
Face of an angel with the love of a witch
Back off, back off bitch
Back off, back off bitch
Emotions ripped, gone on a binge
Life lipped, I said you're off the hinge
Tellin' lies of such fame and glory
I don't even wanna hear your story
Back off, back off bitch
Down in the gutter dyin' in the ditch
You better back off, back off bitch
Face of an angel with the love of a witch
Back off, back off bitch
It's such a pity that you're such a bitch
Back off, back off bitch
It's time to burn-burn the witch
Back off, back off bitch
Back off, back off bitch
Back off, back off bitch
Bitch
Bitch
Bitch
Bitch
Hey wha'd'ya think he's tryin' to say there, anyway?
I think it's something each person's s'posed to take in their own special
way
Fucking bitch"
Bad Apples	https://www.allthelyrics.com/lyrics/guns_n_roses/bad_apples-lyrics-28076.html	Album: Use Your Illusion I	"Diamonds and fast cars
Money to burn
I got my head in the clouds
I got these thoughts to churn
Got my feet in the sand
I got a house on the hill
I got a headache like a mother
Twice the price of my thrills
An it's a cold day,
It's a continental drift
I said this traffic is hell
Can you give me a lift
An I'll try to paint a story
Got your pictures to tell
Yeah you got to make a living
With what you bring yourself to sell
I got some genuine
Imitation
Bad Apples
Free sample
For your peace o' mind
Only $9.95
I got my camera back from customs
Got my law fees up to date
Hell they musta seen me comin'
Ain't this life so fuckin' great
When the shit hit the fan
It was all I could stand
Yeah, well I'm a frequent flyer
My body's breathing while it can
But what I don't understand is that
My world ain't gettin' no brighter
If I could touch the sky
Well I would float on by
While everybody's talkin'
Hell I'm just another guy
If it were up to me
I'd say just leave me be
Why let one bad apple
Spoil the whole damn bunch
Gold and caviar
Now why'nt you pour my apathy
I'd have all my bases covered
If I could teach my hands to see
But now we're down in the deep end
Where they'd love to watch you drown
I said your laundry could use washing
We'll hang it up all over town
I said Hollywood's like a dryer
An we're down on Sunset Strip
An you'll be suckin' down the Clorox
'Til your life's all nice and crisp
When the shit hit the fan
It was all I could stand
Yeah, well I'm a frequent flyer
My body's breathing while it can
But what I don't understand is that
My world ain't gettin' no brighter
If I could touch the sky
Well I would float on by
While everybody's talkin'
Hell I'm just another guy
If it were up to me
I'd say just leave me be
Why let one bad apple
Spoil the whole damn bunch
When the shit hit the fan
It was all I could stand
Yeah, well I'm a frequent flyer
My body's breathing while it can
But what I don't understand is that
My world ain't gettin' no brighter
If I could touch the sky
Well I would float on by
While everybody's talkin'
Hell I'm just another guy
If it were up to me
I'd say just leave me be
Why let one bad apple
Spoil the whole damn bunch
Why let one bad apple
Spoil the whole damn bunch
BOY!!"
Bad Obsession	https://www.allthelyrics.com/lyrics/guns_n_roses/bad_obsession-lyrics-28069.html	Album: Use Your Illusion I	"I can't stop thinkin'
Thinking 'bout sinkin'
Sinkin' down into my bed
I call my mother
She's just a cunt now
She said I'm sick in the head
She said you ain't special
So who you foolin'
Don't try ta give me a line
But I can't stop thinkin' 'bout
seein' ya one more time
(Oh no)
But I already left you
And you're better off left behind
It's a bad obsession
It's always messin'
It's always messin' my mind
It's a bad obsession
It's always messin'
It's always messin' my mind
Too bad you're fucked up
I used to be wasted
Always tried to take it
Take it down into my vein
I call the doctor
He's just another
He said I'm sick in the brain
He said you ain't special
So who you foolin'
Don't try ta give me a line
But I can't stop thinkin' 'bout
doin' it one more time
(Oh no)
But I already left you
And you're better off left behind
(Oh yeah)
Aw it's a bad obsession
It's always messin'
It's always messin' my mind
It's a bad obsession
It's always messin'
It's always messin' my mind
So bad...
Boy
It's a
It's a
Heads up
It's a bad obsession
It's always messin'
It's always messin' my mind
Now it's a bad obsession
It's always messin'
It's always messin' my mind
But I can't stop thinkin' 'bout
doin' it one more time
(Oh no)
See I already left you
And you're better off left behind
(Oh no, oh no)
It's a bad obsession
And you're always messin' my mind
See I already left you
And you're better off left behind
Uh huh...no
Maybe you'll do better next time
PUNK!!"
Black Leather	https://www.allthelyrics.com/lyrics/guns_n_roses/black_leather-lyrics-28102.html	Album: The Spaghetti Incident?	"Ooh
Ooh
Ooh
Well, she's all geared up, walkin' down the street
And I can feel the slime, drippin' down her sleeve
Well, you can't refuse and you just can't choose what she's gonna do
Well, you can't refuse and you just can't choose what she's gonna do
Ooh
Ooh
Well, it's late at night, and I'm all alone
And I can hear her boots as she's near her home
Well, you can't refuse and you just can't choose what she's gonna do
Well, you can't refuse and you just can't choose what she's gonna do
[CHORUS:]
Scratch, scratch, she's clawing at the door
Whoa, no, I can't take it anymore
Crack, crack I'm feeling so sore
I never should asked for black leather
Black leather
Ooh, black leather
Ow black leather
And you can try to hide, but you won't get far
You can let her in, and you'll start it again
Well, you can't refuse and you just can't choose what she's gonna do
Well, you can't refuse and you just can't choose what she's gonna do
[CHORUS]
Ooh
Ooh
Black Leather [x 8]"
Bohemian Rhapsody	https://www.allthelyrics.com/lyrics/guns_n_roses/bohemian_rhapsody-lyrics-28128.html	Album: Chinese Democracy	"Mama just killed a man, Put a gun against his head,
pulled my trigger, now he's dead.
Mama, life had just begun,
But now I've gone and thrown it all away.
Mama, ooh, Didn't mean to make you cry,
If I'm not back again this time tomorrow,
carry on, carry on as if nothing really matters.
Too late, my time has come,
Sends shivers down my spine, body's aching all the time.
Goodbye, ev'rybody, I've got to go,
Gotta leave you all behind and face the truth.
Mama, ooh, I don't want to die,
I sometimes wish I'd never been born at all.
I see a little silhouetto of a man,
Scaramouche, Scaramouche, will you do the Fandango.
Thunderbolt and lightning, very, very fright'ning me.
(Galileo.) Galileo. (Galileo.) Galileo, Galileo figaro
Magnifico. I'm just a poor boy and nobody loves me.
He's just a poor boy from a poor family,
Spare him his life from this monstrosity.
Easy come, easy go, will you let me go.
Bismillah! No, we will not let you go.
(Let him go!) Bismillah! We will not let you go.
(Let him go!) Bismillah! We will not let you go.
(Let me go.) Will not let you go.
(Let me go.) Will not let you go. (Let me go.) Ah.
No, no, no, no, no, no, no.
(Oh mama mia, mama mia.) Mama mia, let me go.
Beelzebub has a devil put aside for me, for me, for me.
So you think you can stone me and spit in my eye.
So you think you can love me and leave me to die.
Oh, baby, can't do this to me, baby,
Just gotta get out, just gotta get right outta here.
Nothing really matters, Anyone can see,
Nothing really matters,
Nothing really matters to me.
Any way the wind blows."
Breakdown	https://www.allthelyrics.com/lyrics/guns_n_roses/breakdown-lyrics-28085.html	Album: Use Your Illusion II	"We all come in from the cold
We come down from the wire
An everybody warms themselves
to a different fire
When sometimes we get burned
You'd think sometime we'd learn
The one you love is the one
That should take you higher
You ain't got no one
You better go back out and find her..
Just like children hidin' in a closet
Can't tell what's goin' on outside
Sometimes we're so far off the beaten track
We'll get taken for a ride
By a parlor trick or some words of wit
A hidden hand up a sleeve
To think the one you love
could hurt you now
Is a little hard to believe
But everybody darlin' sometimes
Bites the hand that feeds
When I look around
Everybody always brings me down
Well is it them or me
Well I just can't see
But there ain't no peace to found
But if someone really cared
Well they'd take the time to spare
A moment to try and understand
Another one's despair
Remember in this game we call life
That no one said it's fair
BREAKDOWN
Let me hear it now
BREAKDOWN
let me hear it now
Yeah
BREAKDOWN
Let me hear it now
BREAKDOWN
let me hear it now
Get down with yo' bad self
Alright
I've come to know the cold
I think of it as home
When there ain't enough of me
To go around
I'd rather be left alone
But if I call you out of habit
I'm out of love and I gotta have it
Would you give it to me
If I fit you needs
Like when we both knew we had it
But now the damage's done
And we're back out on the run
Fun how ev'rything was Roses
When we held on to the Guns
Just because you're winnin'
Don't mean you're the lucky ones
BREAKDOWN
Let me hear it now
BREAKDOWN
Yeah
BREAKDOWN
BREAKDOWN
let me hear it now
""There goes the challenger being chased
By the blue blue meanies on wheels
The vicious traffic squad cars are
After our lone driver
The last American hero
The-the electric sintar
The demi-god,
The super driver of the golden west!
Two nasty Nazi cars are close behind
The beautiful lone driver
The police cars are getting closer-closer...
Closer to our soul hero in his soul mobile- Yeah baby!
They about to strike, They gonna get him, SMASH! RAPE!
The last beautiful free soul on this planet
But...it is writen if the Evil Spirit
Arms the Tiger with claws
Brahman provided wings for the Dove
Thus spake the Super Guru"" *
""Did you hear that"""
