song	link	album	lyrics
Agitated	https://www.allthelyrics.com/lyrics/muse/agitated-lyrics-24683.html	Origin Of Symmetry	"ohhhhhhhhhhhhhh
Set Me Free
Let Me Be
Who And What I Am
Why Can't You See?
You Never Seem To Understand
This Pain I Feel Is As Real
As Your Ignorance
Question Fate
As I Await Deliverance
Like A Fantastic Fork
In Bloody Meat
Don't Give Me Love
I Wanna Drowned In Your Deep Divide
Tumbleweed Sew The Seed
In This Ghost Town
You Never Know
What You'll See
When The Sun Goes Down
I Saw Her Last
In A Dream
She Seems To Astound
Heard Of Her First Third Verse
(216) Hands Bound
Taken From Me
In My Mind Empty
Without It Inside
Starving I Am The Deprived
Just Want It Once...
desires Strong
Resistance Is Weak
It's Hard To Win
When You've Got So Many Mouths To Feed
I Could Die
For All Of My Sins
No Not For That
For All That I Have Never Had
This Life's A Fight
For Fulfillment Inside
A War Of My Own Hindsight
Look Back With Resentment
Taken As I Find Myself
All Alone
Taken From Me"
Apocalypse Please	https://www.allthelyrics.com/lyrics/muse/apocalypse_please-lyrics-199845.html	Absolution	"declare this an emergency
come on and spread a sense of urgency
and pull us through
and pull us through
and this is the end
this is the end
of the world
and it's time we saw a miracle
come on, it's time for something biblical
to pull us through
and pull us through
and this is the end
this is the end
of the world
proclaim enternal victory
come on and change the cause of history
and pull us through
and pull us through
and this is the end
this is the end
of the world"
Ashamed	https://www.allthelyrics.com/lyrics/muse/ashamed-lyrics-36180.html	Hullabaloo Soundtrack	"I know there's something I could tell you or tell me
I hope this matter private whose you're loving
We can blow up this now
It's all because of mine
Don't people change things
Cause I can't pray for
I never needed your cry
But I love your cry
Don't you want me ? cause I need you so
I know that you're ashamed
So romantic that accuse you
Don't you know that you're ashamed ?
So romantic that you cry
There's always something that will makes you kiss me
There's also something that I would tell you or tell me
We should blow up this now
It's all because of mine
Don't people see yourself
Cause I can't pray for
I never needed your cry
I love your cry
That's romantic cause I need you so
I know that you're ashamed
So romantic that accuse you
Don't you know that you're ashamed ?
So romantic that accuse you"
Ashamed (B-side)	https://www.allthelyrics.com/lyrics/muse/ashamed_bside-lyrics-757807.html	-	"i know there's something that your dying to tell me
i hope its not about your future male
make sure no-one finds out
tell me all about it
don't keep it to yourself
because i cant bear the thought
i know you'll leave me crying
i know you'll find me
it doesn't matter cause i need you so
i know that you're ashamed
so much that it kills you
don't you know that you're ashamed
so much that it thrills you
there's always something that makes you guilty
this is something that your dying to tell me
make sure no-one finds out
tell me all about it
don't keep it to yourself
because i cant bear the thought
i know you'll leave me crying
i know you'll find me
it doesn't matter cause i need you so
i know that you're ashamed
so much that it kills you
don't you know that you're ashamed
so much that it thrills you"
Blackout	https://www.allthelyrics.com/lyrics/muse/blackout-lyrics-199851.html	Absolution	"don't kid yourself
and don't fool yourself
this love's too good last
and I'm too old train, yeah
don't grow up too fast
and don't embrace the past
this life's too good to last
and I'm too young to care
don't kid yourself
and don't fool yourself
this life could be the last
and we're too young to see"
Bliss	https://www.allthelyrics.com/lyrics/muse/bliss-lyrics-24670.html	Origin Of Symmetry	"Everything about you is how I'd wanna be
Your freedom comes naturally
Everything about you resonates happiness
Now i won't settle for less
Give me
All the bliss and joy in your mind
Everything about you pains my envying
Your soul can't hate anything
Everything about you is so easy to love
They're watching you from above
Give me
All the bliss and joy in your mind
I want the bliss and joy in your mind
Give me the bliss and joy in your mind
Everything about you resonates happiness
Now i won't settle for less
Give me
All the bliss and joy in your mind
I want the bliss and joy in your mind
Give me the bliss and joy in your mind"
Butterflies And Hurricanes	https://www.allthelyrics.com/lyrics/muse/butterflies_and_hurricanes-lyrics-199852.html	Absolution	"Change
Everything you are
And everything you were
Your number has been called
Fights, battles have begun
Revenge will surely come
Your hard times are ahead
Best
You've got to be the best
You've got to change the world
And use this chance to be heard
Your time is now
Change
Everything you are
And everything you were
Your number has been called
Fights and battles 've begun
Revenge will surely come
Your hard times are ahead
Best
You've got to be the best
You've got to change the world
And use this chance to be heard
Your time is now
Don't
Let yourself down
Don't let yourself go
Your last chance has arrived
Best
You've got to be the best
You've got to change the world
And use this chance to be heard
Your time is now"
Can't Take My Eyes Off You	https://www.allthelyrics.com/lyrics/muse/cant_take_my_eyes_off_you-lyrics-225368.html	B-sides	"You're just too good to be true
can't keep my eyes off you
you'd feel like heaven to touch
I wanna hold you so much
at long last love has arrived
and I thank God I'm alive
you're just too good to be true
can't take my eyes off of you
Pardon  the way that I stare
there's nothing else to compare
the sight of you makes me weak
there are no words left to speak
but if you feel like I feel
please let me know that it's real
you're just too good to be true
can't take my eyes off of you
chorus:
I love you baby, and if it's quite alright
I need you baby to warm the lonely nights
I love you baby, trust in me when I say
oh pretty baby, don't let me down, I pray
oh pretty baby, now that I've found you, stay
and let me love you, baby, let me love you...
You're just too good to be true
can't keep my eyes off of you
you'd feel like heaven to touch
I wanna hold you so much
at long last love has arrived
and I thank god I'm alive
you're just too good to be true
can't take my eyes off of you
chorus"
Cave	https://www.allthelyrics.com/lyrics/muse/cave-lyrics-24661.html	Showbiz	"Leave me alone, it's nothing serious
I'll do it myself, it's got nothing to do with you
And there's nothing that you can do
You can see it and you can almost hear it too
You can almost taste it, it's nothing to do with you
And there's still nothing that you can do
So come in my cave, and I'll burn your hearts away
Come in my cave and I'll burn your hearts away
Please close your ears and try to look away
So you'll never hear a single word I say
And don't ever come my way
Leave me alone, it's nothing serious
I'll do it myself, it's got nothing to do with you
And there's still nothing that you can do
So come in my cave, and I'll burn your hearts away
Come in my cave, and arrest me for my mistakes"
Citizen Erased	https://www.allthelyrics.com/lyrics/muse/citizen_erased-lyrics-24674.html	Origin Of Symmetry	"break me in, teach us to cheat
and to lie and cover up
what shouldn't be shared
and the truth's unwinding
scraping away at my mind
please stop asking me to describe
for one moment
i wish you'd hold your stage
with no feelings at all
open minded
i'm sure i used to be so free
self-expressed, exhausting for all
to see and to be
what you want and what you need
the truth's unwinding
scraping away at my mind
please stop asking me to describe
for one moment
i wish you'd hold your stage
with no feelings at all
open minded
i'm sure i used to be so free
for one moment
i wish you'd hold your stage
with no feelings at all
open minded
i'm sure i used to be so free
wash me away
clean your body of me
erase all the memories
they'll only bring us pain
and i've seen, all i'll ever need"
