song	link	album	lyrics
'39	https://www.allthelyrics.com/lyrics/queen/39-lyrics-56157.html	Live Killers	"In the year of thirty-nine' assembled here the volunteers
In the days when lands were few
Here the ship sailed out into the blue and sunny morn
The sweetest sight ever seen.
and the night followed day, and the story tellers say
That the score brave souls inside
For many a lonely day sailed across the milky seas
Never looked back, never feared, never cried
Don't you hear my call, though you're many years away
Don't you hear me calling you, write your letters in the sand
For the day I'll take your hand, in the land that our grand-children knew
In the year of thirty-nine', came a ship from the blue
The volunteers came home that day, and they bring good news
Of a world so newly born, though their hearts so heavily weigh
For the earth is old and grey, little darling we'll away
But my love this cannot be...
Oh so many years have gone, though I'm older than a year
Your mothers eyes from your eyes cry to me
Don't you hear my call, though you're many years away
Don't you hear me calling you
Write your letters in the sand, for the day I'll take your hand
In the land that our grand-children knew
Don't you hear my call, though you're many years away
Don't you hear me calling you, all your letters in the sand
Cannot heal me like your hand, for my life still ahead... pity me"
A Human Body	https://www.allthelyrics.com/lyrics/queen/a_human_body-lyrics-55983.html	A Kind Of Magic	"Oh
They were talking in whispers
In bear skins and fur
Captain Scott and his heroes to be
To have laboured so long
To have made it this far
Ooh it's been such a long ride
Ooh you know it's been a long way
For a human - human human
For a human body
Can you see ?
Can you believe it happens ?
Now it happens here
Do you believe do you believe or really care ?
Can you believe it happens ?
Now it happens here
To a human human
With a human body you see
There ain't nobody gets out of this moonlight
Today is surprisingly fair
Oh oh oh oh woo woo
We've got problems the lone ranger can't fix
The invisible man couldn't see
It takes a tough guy
To learn some new tricks
Ooh it takes such a long time
Ooh you know it's been such a long way
For a human - human human
For a human body you see
Can you believe it happens ?
Now it happens here
Do you believe do you believe or really care ?
Can you believe it happens ?
Now it happens here
To a human human
To a human body you see
You know it's been such a long while
It's been such a long while
Takes such a long time
It takes such a long time
It's been such a long way
Been such a long way
It's been such a long while
Been such a long while
Yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah
It's gonna be a long ride"
A Kind Of 'A Kind Of Magic'	https://www.allthelyrics.com/lyrics/queen/a_kind_of_a_kind_of_magic-lyrics-56290.html	A Kind Of Magic	"A Kind Of 'A Kind Of Magic'
Written by Roger Taylor
Magic (magic)
This rage that lasts a thousand years
Will soon be, will soon be, will soon be done
This is (this is) a kind (a kind) of magic (yeah)
There can be only one
This rage that lasts a thousand years
Will soon be done - (done)
(Magic) - It's a kind of magic
It's a kind of magic, magic, magic, magic (magic)
(Magic) ha ha ha haa - it's magic
(Magic)
Yeah - it's a kind of magic
Ha haa
Yeah yeah
Wooh
It's a kind of magic"
A Kind Of Magic	https://www.allthelyrics.com/lyrics/queen/a_kind_of_magic-lyrics-55964.html	Innuendo	"It's a kind of magic, It's a kind of magic
A kind of magic
One dream, one soul, one prize, one goal
One golden glance of what should be...
It's a kind of magic
One shaft of light that shows the way
No mortal man can win this day
It's a kind of magic
The bell that rings inside your mind
Is challenging the doors of time... It's a kind of magic
The waiting seems eternity, The day will dawn of sanity
Is this a kind of magic (It's a kind of magic)
There can be only one
This rage that lasts a thousand years, will soon be done
This flame that burns inside of me
I'm here in secret harmonies... It's a kind of magic
The bell that rings inside your mind
Is challenging the doors of time
It's a kind of magic
It's a kind of magic
The rage that lasts a thousand years
will soon be, will soon be, Will soon be (done)
This is a kind of magic, There can be only one
This rage that lasts a thousand years
Will soon be done, done
Magic, it's a kind of magic
It's a kind of magic
Magic, magic, magic, magic
Ha ha ha, it's magic
It's a kind of magic"
A Winter's Tale	https://www.allthelyrics.com/lyrics/queen/a_winters_tale-lyrics-56025.html	Made In Heaven	"It's Winter-fall, Red skies are gleaming, oh
Sea-gulls are flying over, Swans are floating by
Smoking chimney-tops, am I dreaming
Am I dreaming?
The nights draw in
There's a silky moon up in the sky, yeah
Children are fantasizing, Grown-ups are standing by
What a super feeling, am I dreaming
Am I dreaming?
Wo, wo, wo, wo
(dreaming) So quiet and peaceful
(dreaming) Tranquil and blissful
(dreaming) There's a kind of magic in the air
(dreaming) What a truly magnificient view
(dreaming) A breathtaking scene
With the dreams of the world in the palm of your hand
(dreaming) A cosy fireside chat
(dreaming) A little this, a little that
(dreaming) Sound of merry laughter skipping by
(dreaming) Gentle rain beating on my face
(dreaming) What an extraordinary place!
And the dream of the child is the hope -of the hope- of the man
It's all so beautiful, like a landscape painting in the sky, yeah
Mountains are zooming higher, mmm
Little girls scream and cry
My world is spinning, and spinning, and spinning
It's unbelievable, sends me reeling
Am I dreaming, Am I dreaming
Oooh it's bliss"
Action This Day	https://www.allthelyrics.com/lyrics/queen/action_this_day-lyrics-56030.html	Hot Space	"This street honey is a mean street
Living in this street honey needs a mean streak
We've got criminals living in this street
But there's a heart beat pulse, That keeps on pumping
Like a juke box playing the same dead record
Or a radio in the corner keeps blaring
I got a feeling this world is using me
This town honey is a dead town
Living in this town honey is a let down
Coming to this town honey is a show down
But there's a heart beat pulse
That keeps on pumping some sunshine ray
Through a crack in the shutter
Or a sight of a light, at the end of a tunnel
Still there's a feeling this world is using me
Action this day, action this night
Oh we've gotta learn, to love, to live
You can't say it ain't right
Action this day, action this night
Oh you've got the power, you've got the power
You've got the power to love, to live
You can't say it ain't right
Your mind honey is a bleak place
Living in your minds living in a blank space
Your mind is coming from a rat race
But there's a heart beat pulse, That keeps on pumping
Like a juke box playing the same dead record
Or a radio in the corner keeps blaring
I got a feeling that just won't quit
This world is using me
Action this day, action this night
Oh we've gotta learn, to love, to live
We can't say it ain't right
Action this day, action this night
Oh you've got the power, you've got the power
You've got the power to love, to live
You can't say it ain't right
Action, action this day, action this day
Action, action this day, action this day
Living in the street...
Action..."
All Dead, All Dead	https://www.allthelyrics.com/lyrics/queen/all_dead_all_dead-lyrics-56103.html	News Of The World	"She came without a farthing, a babe without a name
So much ado about nothing, is what she's try to say
So much ado my lover,
so many games we played
Through every fleeted summer, through every precious day
All dead, all dead, all the dreams we had
And I wonder why I still live on
All dead, all dead, and alone I'm spared
My sweeter half instead, All dead, and gone, all dead
All dead, all dead, at the rainbow's end
And still I hear her own sweet song
All dead, all dead, Take me back again
You know my little friend's, all dead and gone
Her ways are always with me, I wander all the while
But please you must forgive me, I am old but still a child
All dead, all dead, but I should not grieve
In time it comes to everyone, all dead, all dead
But in hope I breathe, of course I don't believe
You're dead and gone, all dead and gone"
All God's People	https://www.allthelyrics.com/lyrics/queen/all_gods_people-lyrics-56250.html	Greatest Hits III	"So all you people give freely
Make welcome inside your homes
Thank God you people give freely
Don't turn your back on the lesson of the Lord
All prime ministers (yeah) and majesty around the world
Open your eyes look touch and feel
Rule (rule with your heart ) with your heart
Live (live with your conscience) with your conscience
And love, love
Love, love, and be
Love, love, and be free
We're all God's people (we're all God's people)
Gotta face up, better grow up
Gotta stand tall and be strong
Gotta face up, better grow up
Gotta face up, better grow up
Gotta stand tall and be strong
Gotta face up, better grow up
We're all God's people
(Gotta face up), (Better grow up)
(Gotta face up), (Better grow up)
Yeah, Yeah, yeah - yes there was this magic light...I said to myself
I'd better go to bed and have an early night
Then I, then I, then I, then I went into a dream
Rule with your heart and live with your conscience
We're all God's people give freely (yeah)
Make welcome inside your homes
Let us be thankful, he's so incredible
We're all God's, we're all God's
We're all God's, we're all God's people
We're all God's, we're all God's people
We're all God's people"
Another One Bites The Dust	https://www.allthelyrics.com/lyrics/queen/another_one_bites_the_dust-lyrics-56054.html	Disc: 2	This song lyrics are not displayed due to the claim of copyright holder
Another Rainy Night (Without You)	https://www.allthelyrics.com/lyrics/queen/another_rainy_night_without_you-lyrics-573358.html	-	"Don't slam the door, on your way out
Don't leave without saying goodbye.
Another long distance night alone,
you leave me wanting, always leave me wanting more.
Last word today, coming home to stay?
Wouldn't that be nice, for a while?
But now my take-out food is growing cold,
and the candle's burned a hole in the floor.
And I'm still waiting for the ring of the phone.
I'm all alone
It's just another rainy night, without you.
Guess I'll leave a light on for you.
It's just another rainy night, without you.
Listen, there's a foghorn blowing
from the coast tonight
Remember making love in the rain?
Strange how laughter looks like crying with no sound
Raindrops taste like tears without the pain.
I'm not much without you, can't leave
if I wanted to. maybe that's why you stay around
But tonight I'll sit here tending the fire
and pace the floor one hundred times in an hour.
And check the voice-mail for a message you've called.
I'm all alone
It's just another rainy night, without you.
Waiting by the phone. Alone.
It's just another rainy night, without you.
Guess I'll leave a light on for you.
I know I've said it before
hate the sound of the closing door
and your footsteps walking away.
(solo)
But now my take-out food is growing cold,
and the candle's burned a hole in the floor.
And I'm still waiting for the ring of the phone.v
I'm all alone
It's just another rainy night, without you.
Waiting by the phone. Alone.
And it's another rainy night, without you.
Guess I'll leave a light on for you.
It's just another rainy night, another rainy night,
another rainy night without you."
