song	link	album	lyrics
A Light In The Black	https://www.allthelyrics.com/lyrics/rainbow/a_light_in_the_black-lyrics-246430.html	Rising	"Can't forget his face
What a lonely place
Has he really let us go?
All the time that's lost
What's the final cost
Will I really get away?
All my life it seems
Just a crazy dream
Reaching for somebody's star
Can't believe it all
Did he really fall
What to do now I don't know
Something's called me back
There's a light in the black
Am I ready to go?
I'm coming home
Breathed the air before
Heard the thunder roar
Never knew it was for me
Always looking down
Lost and never found
Eyes that look but not to see
All my life it seems
Just a crazy dream
Reaching for somebody's star
Like an open door
That you've passed before
But you've never had the key
Something's calling me back
There's a light in the black
Am I ready to go?
I'm coming home, I'm coming home, yeah
I'm going back to my home
I'm going home, home, home
Going home, home, home
I'm coming back
Don't forget his face
What a lonely place
Did he really let us go
All the time that's lost
What's the final cost
Will I really get away?
All my life it seems
Just a crazy dream
Reaching for somebody's star
Can't believe it all
Did he really fall
What to do now, well I don't know
Something's calling me back
Like a light in the black
Yes, I'm ready to go
I'm coming home, home, yeah
I've got my way back home
To the sky
There in the sky
I see your star"
All Night Long	https://www.allthelyrics.com/lyrics/rainbow/all_night_long-lyrics-469124.html	Down To Earth	"You're walking up with your eyes on me
It's looking good but I just don't know
I need a girl who can keep her head
All night long
You didn't came just to see the show
I guess you know what you wanna see
The way you smile lets me know
I can't go wrong
I wanna touch you
I wanna feel you
I wanna make you mine
I wanna love you all night long
I wanna be with you all night long
I wanna love you all night long
I wanna be with you all night long
I saw you standing down by the stage
Your black stockings and you see - through dress
Your mouth is open but I don't wanna hear you
Say goodnight
You're sort of young but you're over age
I don't care 'cause I like your style
I don't know about your brain but
You look all right
I wanna touch you
I wanna feel you
I wanna make you mine
I wanna love you all night long
I wanna be with you all night long
I wanna love you all night long
I wanna be with you all night long
Your mind is dirty but your hands are clean
You show no class but your legs are long
I know I can't stand another night
On my own
Hey girl would you like some wine
What's your name are you by yourself
Are you the one what do you say
Can I take you home
I wanna touch you
I wanna feel you
I wanna make you mine
I wanna love you all night long
I wanna be with you all night long
I wanna love you all night long
I wanna be with you all night long"
Ariel	https://www.allthelyrics.com/lyrics/rainbow/ariel-lyrics-246393.html	Stranger in Us All	"I search for her in the dead of night
A silhouette lit by candle light
In a whispered word she is gone
Familiar stranger without a name
In a darkened room they all look the same
Like the sand of time she slips away so far away
In the mirror you can see her face
An angel dressed in the blackest lace
A sip of wine and the game can begin
Just an image lost in fantasy
Then you touch her and you can't break free
Till you see your fate written there in her eyes
Oh Ariel,
Lost in a distant dream, take me home
Ariel"
Beethoven	https://www.allthelyrics.com/lyrics/rainbow/beethoven-lyrics-519253.html	-	"Beethoven's Ninth Symphony
making of...
adriana lecouvreur
aida
aroldo
ballo in maschera
battaglia di legnano
la boh'e
carmen
cavalleria rusticana
contes d'hoffmann
don carlo
fanciulla del west
fedora
la forza del destino
idomeneo
madama butterfly
manon lescaut
oberto
otello
pagliacci
parsifal
queen of spades
samson et dalila
simon boccanegra
stiffelio
symphony no.9
il tabarro
tosca
la traviata
turandot
verdi requiem
die walk'e
plus
synopses/libretti
some lyrics
Verdiana!
Pucciniana!
Tenorissimo!
OperaResource
1998-2001
All rights reserved.
BEETHOVEN'S NINTH SYMPHONY
Friedrich von Schiller's Ode to Joy in Beethoven's setting for
four soloists, chorus
and orchestra has taken on a special meaning as a fanfare for
peace, tolerance and
liberty all over the world.
Beethoven's drafts for his opus 125 - the last in the cycle of
symphonies - date back
to the year 1815 or 1816. For decades he had been wanting to
set Schiller's hymn to
music, but it was only after the first three movements of the
9th Symphony were
almost completed that he decided to compose a choral finale
for the last movement
based on parts of the poem.
In the conventions of the 1820s it was nothing less than
revolutionary to end a
symphony in this manner - and at just over an hour the work
was also unusually
long. At its first performance, in Vienna on May 7, 1824, the
audience was typically
enthusiastic, while the critics, as so often before, found the
composer's unique
ideas too novel and daring.
Beethoven himself could not hear the clamour and the shouts of
'Bravo', as he was
completely deaf by this time.
AN DIE FREUDE - ODE TO JOY
O Freunde, nicht diese T'e!
Sondern lasst uns angenehmere anstimmen
und freudenvollere!
Freude, sch'er G'terfunken,
Tochter aus Elysium,
Wir betreten feuertrunken.
Himmlische, dein Heiligtum!
Deine Zauber binden wieder
Was die Mode streng geteilt;
Alle Menschen werden Br'er
Wo dein sanfter Fl'el weilt.
Wem der grosse Wurf gelungen
Eines Freundes Freund zu sein,
Wer ein holdes Weib errungen,
Mische seinen Jubel ein!
Ja, wer auch nur eine Seele
Sein nennt auf dem Erdenrund!
Und wer's nie gekonnt, der stehle
Weinend sich aus diesem Bund.
Freude trinken alle Wesen
An den Br'ten der Natur;
Alle Guten, alle B'en,
Folgen ihrer Rosenspur.
K'se gab sie uns und Reben,
Einen Freund, gepr't im Tod;
Wollust ward dem Wurm gegeben,
Und der Cherub steht vor Gott!
Froh, wie seine Sonnen fliegen
Durch des Himmels pr'ht'gen Plan,
Laufet, Br'er, eure Bahn,
Freudig, wie ein Held zum Siegen.
Seid umschlungen, Millionen.
Dieser Kuss der ganzen Welt!
Br'er! ?er'm Sternenzelt
Muss ein lieber Vater wohnen.
Ihr st'zt nieder, Millionen?
Ahnest du den Sch'fer, Welt?
Such ihn ?er'm Sternenzelt!
?er Sternen muss er wohnen.
(the four-line verse is the 'alla marcia' section: the tenor
solo)
text anne lawson
OperaResource - Verdiana -
Pucciniana - Tenorissimo r-ds.com"
Black Masquerade	https://www.allthelyrics.com/lyrics/rainbow/black_masquerade-lyrics-246391.html	Stranger in Us All	"I know the key to secrets never told, they're hidden in your soul
Feelings you hide never wanting me to find they've always been mine
Release all the madness within let it all begin
Now you'll see, the dark side of me
In our black masquerade
Let the moonlight surround you
The game that we play is
The black masquerade
The full moon unmasks the stranger in us all
And the cruel world takes its toll
The shadow is cast on who you used to be
Let me set you free
Come now, come take my hand, then you'll understand
We'll go to that forbidden land
Of our black masquerade
Let the darkness surround you
The game that we play is the black masquerade
Release all the madness within, let it all begin
We'll go to that forbidden land
Come let me take you there
Let the moonlight surround you
Don't be afraid, it's the black masquerade"
Black Sheep Of The Family	https://www.allthelyrics.com/lyrics/rainbow/black_sheep_of_the_family-lyrics-246441.html	Rainbow	"I've got nothing in my head
Got a floor for a bed
The future's at the bottom of a tea cup
I got a half a pair of shoes
And no time to lose
I'm wondering when I'm going to wise up
So, fortune shine your light on me and my clothes
Cause we need some security
You get a little bad luck
And it grows and it grows
I'm the black sheep of the family
I've got half a pound of rice
A beard full of lice
A mission called retrogression
I've got pocket full of dust
And eating is a must
You want to make a good impression
So, fortune shine your light on me and my dog
Cause we need some security
While all the folks are living high up the hill
I'm the black sheep of the family
Don't talk to me about society
You got to pay the rules
Or pay the penalty
Because there's nothing to choose
Between a handful of blues
Double indemnity
The hour was wrong
And my shadow's getting long
My real life's a song, don't need much
But I've got an ache in my head
I wanna go to bed
Tomorrow I don't have to wake up, no
So wisdom shine your light on me and my knees
Cause it's true what they say about familiarity
There's nothing good this way
And it's true they say
I'm the black sheep of the family
Oh, my wisdom shine your light on me and my knees
It's true what they say about familiarity
There's nothing good this way
And it's true they say
I'm the black sheep of the family
Yeah, yeah
I'm the black sheep of the family
Just me and my dog, yeah, yeah
I'm the black sheep of the family
Yeah, yeah, yeah, yeah, yeah, yeah
I'm the black sheep of the family
You've got me on my knees
I'm the black sheep of the family
Yeah, yeah, yeah"
Bring On The Night	https://www.allthelyrics.com/lyrics/rainbow/bring_on_the_night-lyrics-753821.html	Straight between the Eyes	"I've got nothing in my head, got a floor for a bed.
My future's at the bottom of a teacup
I've got half a pair of shoes and no time to lose.
I'm wondering when I'm gonna wise up
So, Fortune, shine your light on me (and my nose),
Cause I need some security.
You get a little bad luck and it grows and it grows.
I'm the black sheep of the family.
I've got half a pound of rice, a beard full of lice,
Political retrogression.
I've got a pocket full of dust, and eating is a must
If you want to make a good impression.
So, Fortune shine your light on me (and my dog),
Cause we need some security.
While other folks are living high on the hog.
I'm the black sheep of the family.
Don't talk to me about Society.
You got to play by the rules or pay the penalty.
Because there's nothing to choose between a handful of blues.
Double indemnity.
The whole world's wrong and my shadow's getting long.
I realize this song don't mean much.
I got an ache in my head. I want to go to bed.
Tomorrow, I don't have to wake up.
So, Wisdom shine your light on me (and my knees).
It's true what they say about familiarity.
There's nothing good this way, it's true what they say!
I'm the black sheep of the family."
Bring On The Night (Dream Chaser)	https://www.allthelyrics.com/lyrics/rainbow/bring_on_the_night_dream_chaser-lyrics-246412.html	Straight between the Eyes	"I was taking a chance on a tight-rope
Walking the line to the end
I was ready to fall, had my back to the wall
But I'm flying again...
I been shifting my gears, I been moving
Cause they wanted me dead or alive
But I'm making a break and I want you to take a ride
Take a ride --
Bring on the night
Into the shadows and out of the light
Bring on the night...
Let the Dream Chaser take you away
When the sun hits another horizon...
And the joker has started to deal...
You can quit if you choose but there's nothing to lose
By a spin of the wheel
Gotta burn all your bridges behind you, they'll keep dragging
You down if you stay...
And I know I ain't wrong cause I'm free and I'm on my way
Bring on the night
Into the shadows and out of the light
Bring on the night
Let the Dream Chaser take you away
I live on the edge of tomorrow
I'm racing along on the wind
I can see what I need, you better believe
I'm playin' to win
I got nothin' to fear when I'm flyin'
Cause yesterday over and gone
And there's nothin' I can do... so I gotta keep movin' on...
Movin' on --
Movin' on --
Bring on the night
Into the shadows and out of the light...
Bring on the night...
Let the Dream Chaser take you away... take you away
Bring on the night
"" Dream Chaser """
Bye Bye Baby Goodbye	https://www.allthelyrics.com/lyrics/rainbow/bye_bye_baby_goodbye-lyrics-469123.html	-	"Whooaaa
I get the same old dream, same time every night
Fall to the ground and I wake up
So I get out of bed, put on my shoes, and in my head
- Thoughts fly back to the break-up
These four walls are closing in
Look at the fix you've put me in!!
Chorus:
Since You've Been Gone, Since You've Been Gone
I'm outta my head, Can't take it
Could I be wrong, but Since You've Been Gone
You cast the spell, so break it
Oooohhh - Whhooooaaa - Ooooohhh
Since You've Been Gone
So in the night I stand beneath the backstreet light
I read the words that you sent to me
I can take the afternoon, the night-time comes around too soon
- You can't know what you mean to me
Your poison letter, your telegram
Just goes to show you don't give a damn
CHORUS
If you will come back
Baby you know
You'll never do wrong
CHORUS 2X"
Can't Happen Here	https://www.allthelyrics.com/lyrics/rainbow/cant_happen_here-lyrics-246417.html	Difficult to Cure	"Contaminated fish and micro chips
Huge supertankers on Arabian trips
Oily propaganda from the leader's lips
All about the future
There's people over here, people over there
Everybody's looking for a little more air
Crossing all the borders just to take their share
Planning for the future
[Refrain:]
And we're so abused, and we're so confused
It's easy to believe that someone's gonna light the fuse
Can't happen here, can't happen here
All that you fear they're telling you, can't happen here
Supersonic planes for a holiday boom
Rio de Janeiro in an afternoon
People out of work but there's people on the moon
Looking for the future
Concrete racetracks nationwide
Juggernauts carving up the countryside
Cars by the million on a one way ride
Using up the future
[Refrain]
Satellites sprying for the CIA
The KGB and the man in grey
Wonder if I'm gonna see another day
Somewhere in the future
We got everything we need for a peaceful time
Take what you want but you can't take mine
Everybody's living on the Siegfried Line
Worried about the future
And we're so abused, and we're so confused
It's so easy to believe someone's gonna light it
Easy to believe someone's gonna light the fuse
Can't happen here, can't happen here
All that you fear they're telling you, can't
Happen here, can it?"
Can't Let You Go	https://www.allthelyrics.com/lyrics/rainbow/cant_let_you_go-lyrics-246404.html	Bent out of Shape	"Day after day I keep waking up
To find that you're slipping away
Night after night
I can't fight the emptiness inside
Nothing I can say
Now I know you're turning me away
You're wearing a disguise
You don't have to hide cause
The truth is in your eyes tonight
I don't want to live a lie
But I don't want to say goodbye
And I can't let you go even though it's over
I just can't let you go
Though your love is growing colder
One look in my eyes and you're realize
That you got my heart in your hands
Won't you let me know sometimes more
Where did we do wrong?
I don't want to fight
All I want to do is try to understand
I'm reaching out for you baby
What can I do
I've been holding on so long
I don't want to live a lie
But I don't want to say goodbye
I can't let you go
Even though it's over
I just can't let you go
I feel your love is growing colder
I don't want to live a lie
But I don't want to say goodbye
I want you by my side
And I can't let you go
Even though it's over
I just can't let you go
I feel your love is growing colder
I can't let you go even though it's over"
Catch The Rainbow	https://www.allthelyrics.com/lyrics/rainbow/catch_the_rainbow-lyrics-246440.html	Rainbow	"When evening falls
She'll run to me
Like whispered dreams
Your eyes can't see
Soft and warm
She'll touch my face
A bed of straw
Against the lace
We believed we'd catch the rainbow
Ride the wind to the sun
Sail away on ships of wonder
But life's not a wheel
With chains made of steel
So bless me
Come the dawn
Come the dawn
Come the dawn
Come the dawn
We believed we'd catch the rainbow
Ride the wind to the sun
And sail away on ships of wonder
But life's not a wheel
With chains made of steel
So bless me, oh bless me, bless me
Come the dawn
Come the dawn
Come the dawn
Come the dawn"
Cold Hearted Woman	https://www.allthelyrics.com/lyrics/rainbow/cold_hearted_woman-lyrics-246396.html	Stranger in Us All	"She came from across the water
A devil's daughter was in disguise
I crid for mercy - she bound and chained me
and then she played me, I was mesmerized
When she gave me blood red roses
They were wrapped in razor thorns
She was sly in her temptation
Then she left me on my own
Sutch a cold hearted woman
She promised passion everlasting
And now I'm haunted by her name
I gave up all that I ever cared for
Oh if I only had my yesterdays again
I've been blinded, now I'm broken
Sometimes I can hear her song
No man's grass was ever greener
Now I find that I don't belong
With a cold hearted woman
She touched my world and I was shaken
But she was fakin,?I never knew
These days are colder and there's no shoulder
I'm just the shell fo the man I was before
If there's somewhere I can run to
Till I kill the pain inside
I've been walking now for hours
Can't forget her, the Lord knows I've tried
Cause she's a cold, cold hearted woman"
Danger Zone	https://www.allthelyrics.com/lyrics/rainbow/danger_zone-lyrics-519252.html	Down To Earth	"Shaking off the tresholds of a long forgotten dream
And you just can't make it last
Coaching paradise on a personal line
But you get fired to fast
And you lie, memories drifting by
Love don't make it on those pin-striped nights
When you're looking through someone's disguise
You can't make it alone, so you gotta make a move
But you're looking at nobody's eyes
Well that's love, or maybe love come and go
Looking for love is a danger zone
Love don't go begging in the danger zone
You won't get nothing from the danger zone
Tales that you tell from the stories that you'll hear
And you'll get what you can while you may
Don't understand when you're looking for a dame
But it's only a heartbreak away
And you'll learn, faking has no return
No way when you're feeling that way
Will your feet get caught up in the crowd
And the song that you sing is too soft to be heard
But your speakers are way too loud
Like the pain, loving is no big game
Looking for love is a danger zone
No don't go living in the danger zone
You won't get nothing from the danger zone
Don't take no chances in the danger zone
Love don't go begging in the danger zone
No don't go living in the danger zone
You won't get nothing from the danger zone
Don't take no chances in the danger zone
Love don't go begging in the danger zone"
Death Alley Driver	https://www.allthelyrics.com/lyrics/rainbow/death_alley_driver-lyrics-246414.html	Straight between the Eyes	"Rough and ready rider
In a super sonic sound machine
Rock and roll survivor
Chrome pipes between your knees
Running all the red lites
Riding the white lines
Your gonna make a dead stop
But you just can't see the signs
Oh - you'll never win the race
But you can't give up the chase.
Death alley driver
Livin' at high speed
Death alley driver... Yeah
Death alley driver... who knows what you need
Death Alley Driver...
One hundred twenty five smokin on the turns
Always on the hit and run
But you never learn...
Running from the man... and you're running
From yourself
Another dirty angel heading straight to hell
Oh - you'll never win the race...
But you won't give up the chase...
Death Alley Driver...
Life in overdrive... Death Alley Driver.. yeah
Death Alley Driver... ride to stay alive
Death Alley Driver... let's go
Red lights in the mirror
Danger on the band...
Got to take a detour cause a road block's up ahead
He takes you on the corner with a wave of his hand
Death is in the back seat of a big old black sedan
Oh - you'll never win the race...
As you turn and see his face...
Death Alley Driver...
Movin' for the kill
Death Alley Driver... yeah
Death Alley Driver...
Time is standing still...
Death Alley Driver...
Always on the run cause you're a ...
Death Alley Driver
Love the way it feels...
Death Alley Driver... yeah
Death Alley Driver
Hell on wheels...
Death Alley Driver... ooh"
Desperate Heart	https://www.allthelyrics.com/lyrics/rainbow/desperate_heart-lyrics-246401.html	Bent out of Shape	"Yesterday you were here by my side
Nothing to prove and nothing left to hide
You promised me the would be no goodbye
But now I find another set of lies
Babe you must be crazy
How could you be so blind
Why would you deceive me
Now you're saying that you're leaving me behind
So strong I'm not gonna run away
want you to know that I'm gonna break through
How long can I go on this way
There's nothing can I do
[Refrain:]
Desperate heart think you better hold out
Turn apart I was left to bleed
Don't start feeling you were sold out
Now you better face reality
Did my best did the best that I could
It's all been wanted just misunderstood
You been on talking
Your words are sounding so smoothe
Why don't you say it
You just want to out me loose
Oh don't say that you love me
Don't want to hear that you tried
Oh don't tell me that you need me
Don't want to hear none of your alibis
So strong I'm not gonna run away
Want you to know I'm gonna break through
How long can I go on this way
There's nothing I can do
[Refrain]
So strong I'm not gonna run away
Want you to know I'm gonna break through
How long can I go on this way
Tell me what can I do
There's nothing I can do
[Refrain 2 times]"
Do You Close Your Eyes	https://www.allthelyrics.com/lyrics/rainbow/do_you_close_your_eyes-lyrics-658534.html	-	-
