song	link	album	lyrics
(Do You Get) Excited?	https://www.allthelyrics.com/lyrics/roxette/do_you_get_excited-lyrics-14993.html	Joyride	"when the day gets dark
over a thousand streets
and you feel your heart
is a living beat.
when you're all alone
and you close your eyes,
naked to the bone
the dream comes alive.
do you get excited
when I touch you in the night?
my oh my...
do you get excited
when I meet you every night?
you won't let the night pass you by.
when your body's hot,
the window's open wide.
this moment's all you got
in this race of life.
when you feel the fire
is getting close to you,
hey baby, you know Iæ?¦ lonely too.
do you get excited
when I touch you in the night?
my oh my...
do you get excited
hen I meet you every night?
you won't let the night pass you by.
I wanna know..."
(I Could Never) Give You Up	https://www.allthelyrics.com/lyrics/roxette/i_could_never_give_you_up-lyrics-14981.html	Look Sharp!	"I've been hiding,
lost in the love of another.
I've followed the moon and a song
and I thought it would take me forever
to find a place where I belong.
I watch a rainbow rise.
I give you all I've got.
I could never give you up,
the way you make my love shine.
I could never give you up,
the way you make true love shine.
I believe you
when you say you don't want to be lonely.
I'll carry your heart like a bridge
when you need all the time you can find
to get the hurt out of your mind.
I'll watch the rain go by and give you all I've got.
Cause I could never give you up..."
7Twenty7	https://www.allthelyrics.com/lyrics/roxette/7twenty7-lyrics-15048.html	Have A Nice Day	"7twenty7 is ready to move
You know she packed her bags
With nothing left to prove
I thought I didn't care
Now I'm fallin' through
Wouldn't you?
Well, it's a long long journey to the other side
Oh I've been wishin' all night I was on that flight
And god, you'd better take care of the sweetest eyes
I hear myself swallowin' the tears I cry I hear myself swallowin' the tears I cry
7twenty7 is up in the air
You know I feel her hands
On me everywhere
I thought I didn't care
Now I'm saying a prayer
Hey mister, do you know the way
To salvation square?
It's a long long winter 'til the birds will sing
Oh I'll be waitin' all night for the phone to ring
I'm goin' up in smoke and phoney magazines
Everything is just pieces of my stupid dreams
Everything is just spieces of my stupid dreams
With the clouds passin' by
With the clouds passin' by
It's all right
7twenty7 is close to the sky
It carries the world
Between hello and goodbye
Like the Monday we met
That disappeared in a breath
Like the Sunday she left
Forever smellin' of death
Another jet black night, another drink to go
Oh I'll be diving my head in the pure white snow
God, you'd better take care of this gold skinned friend
Tell me, will I ever see her again
Tell me, will I ever see her again"
A Thing About You	https://www.allthelyrics.com/lyrics/roxette/a_thing_about_you-lyrics-329171.html	A Thing About You	"I pick up the phone
I'm dialing your number
while I pray you're at home,
at home and alone
'cause I can't function on my own
And I'll never stop believing
The reapwork is done
You are the one
The radio is on but sound is all gone
And I wanna walk out in the sun
But lately that's been very hard to do
I've got a thing about you
And I don't really know what you do
'cause I've got a thing about you
Hey you
I pick up the phone
I'm dailing that number and
my heart like a stone
waits for the tone
Oh I can't make it on my own
And I'll never stop believing
I know what is right and this is so wrong
Alone in my bed, better off on my own
The TV is on but the colours are gone
And lately you've been painting my world blue
I've got a thing about you
(I've got a thing about you)
And I don't really care what you do
I've got a thing about you
(I've got a thing about you)
Hey you
I've got a thing about you
I've got a thing about you-ou-ou-ou
Lately you've been painting my world blue
I've got a thing about you
(I've got a thing about you)
And I don't really know what to do
I've got a thing about you
Hoping this story cuts through
(this story cuts through)
Yea, I've got a thing about you
A thing about you
I've got a thing about you...
I've got a thing about you...
And I don't really know what to do"
Alguien	https://www.allthelyrics.com/lyrics/roxette/alguien-lyrics-511497.html	-	"alguien para descubrir el amor
para quererse
alguien para compartir el dolor
y perdonarse
toda la vida buscandote
lejos de mi y eras tu
esa persona que sabe querer
y eres tu...
alguien para dar un beso total
y abandonarse
alguien para dar un salto mortal
y no morirse
quien iba decirmelo
tu eres el unico, tu amor
mi corazon desde el cielo al suelo
buscandote...
alguien para conocer la vida
alguien para conservar el calor
alguien para creer en todo
alguien para disfrutar del amor
Despues mas que nada
estar feliz contigo
mi buen amigo...
Siempre buscandote
ahora sintiendote
aqui en mi
para los dos un amor
sin testigos
gracias a ti
alguien para conocer la vida
alguien para conservar el calor
alguien para creer en todo
alguien para disfrutar del amor
despues mas que a nada
estar feliz contigo oh
mi buen amigo, amigo
alguien para conocer la vida
alguien para conservar el calor
alguien para creer en todo
alguien para disfrutar del amor
despues mas que a nada
estar feliz contigo oh
mi buen amigo, tu eres ese alguien"
Almost Unreal	https://www.allthelyrics.com/lyrics/roxette/almost_unreal-lyrics-15068.html	Room Service	"Babe, come in from the cold and put that coat to rest.
Step inside, take a deep breath, and do what you do best.
Yes, kick off them shoes and leave those city streets.
I do believe love came our way, and fate did arrange for us to meet.
I love when you do that hocus pocus to me.
The way that you touch, you've got the power to heal.
You give me that look, it's almost unreal. It's almost unreal.
Hey, we can't stop the rain, let's find a place by the fire.
Sometimes I feel, strange as it seems,
you've been in my dreams all my life.
I love when you do that hocus pocus to me.
The way that you touch, you've got the power to heal.
You give me that look, it's almost unreal. It's almost unreal.
It's a crazy world out there. It's a crazy...
Let's hope our prayers are in good hands tonight.
Oh, I love when you do that hocus pocus to me.
The way that you touch, you've got the power to heal.
You give me that look, it's almost unreal.
It's almost unreal, so unreal.
Yea come on and do the hocus pocus to me.
The way that you touch, you've got the power to heal.
You give me that look, it's almost unreal. It's almost unreal, yea.
It's almost unreal. Do the hocus pocus to me. Do the hocus pocus..."
Anyone	https://www.allthelyrics.com/lyrics/roxette/anyone-lyrics-15046.html	Have A Nice Day	"Anyone who have a love close to this
Knows what I'm saying
Anyone who wants a dream to come true
Knows how I'm feeling
All I can think of is you and me
Doing the things I wanna do
All I imagine is heaven on earth
I know it's you
Anyone who ever kissed in the rain
Knows the whole meaning
Anyone who ever stood in the light
Needs no explaining
But everything more or less appears so meaningless
Blue and cold
Walking alone through the afternoon traffic
I miss you so
Anyone who felt like I do
Anyone who wasn't ready to fall
Anyone who loved like I do
Knows it never really happens at all
It's over when it's over
What can I do about it
Now that it's over
Everything more or less is looking so meaningless
And fades to grey
Lying awake in an ocean of teardrops
I float away
Anyone who ever felt like I do
Anyone who wasn't ready to fall
Anyone who loved like I do
Knows it never really happens at all
It's over when it's over
What can I do about it
Now it's all over"
B-any-1-u-wanna-b [homage To Brian W.]	https://www.allthelyrics.com/lyrics/roxette/bany1uwannab_homage_to_brian_w-lyrics-511496.html	-	"Be anyone you wanna be
Be anyone you wanna be
But baby, if you come as you are
That's alright with me
Everybody wants to be someone else
Everybody wants to change their name and face
Everybody wants to be on TV
Everybody knows that 1+1=3
Be anyone you wanna be
Be anyone you wanna be
But baby, if you come as you are
That's alright with me
Everybody wants to be a man of the world
Everybody wants to watch the poor little rich girl
Everybody wants to sow the perfect seed
Everybody wants to be what everybody needs
Be anyone you wanna be
Be anyone you wanna be
But baby, if you come as you are
That's alright with me
Everybody wants to change their shirts and ties
Everybody wants the truth behind all lies
I can stay all night
Just to watch your eyes
Everybody wants invisibility
My mother still wants Ringo to come on over for tea
Be anyone you wanna be
Be anyone you wanna be
But baby, if you come as you are
That's alright with me
Everybody wants to change their shirts and ties
Everybody wants the truth behind all lies"
Beautiful Things	https://www.allthelyrics.com/lyrics/roxette/beautiful_things-lyrics-15055.html	Have A Nice Day	"Beautiful things
Are comin' my way
Beautiful things
I want them to stay
But after a while
My beautiful things
Don't seem beautiful at all
Terrible things
Like when you wake up
And all of your dreams
Seem to crack up
Like things you have done
Like breakin' my heart
For you it don't seem
Terrible at all
Is there someone I can talk to?
Someone on the line?
Does anybody want to hear
What's on my mind?
Beautiful things
Like leaves on a tree
Beautiful things
The sky and the sea
Since you've been gone
No beautiful things
Seem beautiful to me
Is there someone I can talk to?
Someone out there on the line?
Does anybody want to hear
What's on my mind?
Make the grass grow in the garden
When the rain is passin' by
Does anybody want to know
What's on my mind?"
Better Off On Her Own	https://www.allthelyrics.com/lyrics/roxette/better_off_on_her_own-lyrics-946215.html	Pop Hits	"My girl came home to me
Just the other day acting okay
I was reading alone
In my favourite room the TV was on
May I be excused
For not telling the truth
Cause she's gone
She said she's better off on her own
She turned her head
Much better off on her own
My girl knocked on the door
To the place I usually refer to as home
I died surely some tied
Should have dimmed my eyes
Small and surprised
And God closed every gates
The moon fell into the lake
Boy she's gone, adrift
She's better off on her own
She closed, then she left
Much better off on her own
Sitting naked by the window sill
Watching cars upon the hill
Am I sleeping? I was dreaming
For just a moment time stood still
Better off on her own
Better off on her own
Now she's gone, she said
She's better off on her own
She turned her head
Much better off on her own
She's gone, she sighed
She's better off on her own
The tears I cry
Much better off on her own
My girl came home to me
Just the other day
From album ""The Pop Hits""(2003)"
