song	link	album	lyrics
11 O'Clock Tick Tock	https://www.allthelyrics.com/lyrics/u2/11_oclock_tick_tock-lyrics-18574.html	All That You Can't Leave Behind	"It's cold outside
It gets so hot in here
And the boys and girls collide
To The music in my ear
Hear the children crying
And I know it's time to go
I hear the children crying
Take me home
A painted face
And I know we haven't long
We thought that we had the answers
It was the questions we had wrong
Hear the children crying
And I know it's time to go
I hear the children crying
Take me home
Sad song, sad song
Sad song, sad song
La lah la lah...La lah la lah...La lah lah...
[Repeat 4x]
Sad song, sad song
Sad song, sad song
Call out your name
Call out in shame
Call out your name
Call out
You better call out
Call, call, call out"
11 O'clock Tick Tock (Live From Boston 1981)	https://www.allthelyrics.com/lyrics/u2/11_oclock_tick_tock_live_from_boston_1981-lyrics-1119829.html	Fire/R.O.K.	"It's cold outside, it gets so hot in here
The boys and girls collide to the music in my ear
I hear the children crying and I know it's time to go
I hear the children crying, take me home
A painted face and I know we haven't long
We thought that we had the answers, it was the questions we had wrong
I hear the children crying and I know it's time to go
I hear the children crying, take me home
Sad song sad song
Sad song sad song
Sad song sad song
Sad song sad song"
40	https://www.allthelyrics.com/lyrics/u2/40-lyrics-18472.html	War	"Sing this with me, this is ""40""
I waited patiently for the Lord
He inclined and heard my cry
He lift me up out of the pit
Out of the miry clay
I will sing, sing a new song
I will sing, sing a new song
How long to sing this song
How long to sing this song
How long, how long, how long
How long to sing this song
He set my feet upon a rock
And made my footsteps firm
Many will see, many will see and hear
I will sing, sing a new song
I will sing, sing a new song
Sing it
How long to sing this song
How long to sing this song
How long, how long, how long
How long to sing this song
Thank you, goodnight"
A Day Without Me	https://www.allthelyrics.com/lyrics/u2/a_day_without_me-lyrics-18449.html	Boy	"Starting a landslide in my ego
Look from the outside
To the world I left behind
I'm dreaming
You're awake
If I were sleeping
What's at stake
A day without me
Whatever the feelings
I keep feeling
What are the feelings
You left behind
Today's a day without me
I started a landslide in my ego
Look from the outside
To the world I left behind
In the world I left behind
Wipe their eyes, and then let go
To the world I left behind
Shed a tear, and then let go..."
A Day Without Me (Live From Werchter)	https://www.allthelyrics.com/lyrics/u2/a_day_without_me_live_from_werchter-lyrics-1119833.html	New Year'S Day	"A day without me
Started a landslide in my ego
Looked from the outside to the world I left behind
I'm dreaming, you're awake
If I was sleeping, what's at stake
A day without me
Whatever the feelings, I keep feeling
What are the feelings you left behind
A day without me
Started a landslide in my ego
Looked from the outside to the world I left behind
In the world I left behind
Wipe their eyes and then get home
In the world I left behind
Shed a tear and let go, no
Thank you"
A Different Kind Of Blue	https://www.allthelyrics.com/lyrics/u2/a_different_kind_of_blue-lyrics-18532.html	Passengers: Original Soundtrack	"Those cars
On you
So small
Down there
From here
So high
We drift
We fly
Twilight breaks through
A different kind of blue
More lights
Blue signs
All gold
All new
So small
So high
Down there
Tonight
With twilight breaking through
It's a different kind of blue
Twilight breaking through
It's a different kind of blue"
A Man And A Woman	https://www.allthelyrics.com/lyrics/u2/a_man_and_a_woman-lyrics-219137.html	How To Dismantle An Atomic Bomb	"Little sister don't you worry about a thing today
Take the heat from the sun
Little sister
I know that everything is not ok
But you're like honey on my tongue
True love never can be rent
But only true love can keep beauty innocent
I could never take a chance
Of losing love to find romance
In the mysterious distance
Between a man and a woman
No I could never take a chance
'Cause I could never understand
The mysterious distance
Between a man and a woman
You can run from love
And if it's really love it will find you
Catch you by the heel
But you can't be numb for love
The only pain is to feel nothing at all
How can I hurt when I'm holding you?
I could never take a chance
Of losing love to find romance
In the mysterious distance
Between a man and a woman
And you're the one, there's no-one else
You make me want to lose myself
In the mysterious distance
Between a man and a woman
Brown eyed girl across the street
On rue Saint Divine
I thought this is the one for me
But she was already mine
You were already mine...
Little sister
I've been sleeping in the street again
Like a stray dog
Little sister
I've been trying to feel complete again
But you're gone and so is God
The soul needs beauty for a soul mate
When the soul wants...the soul waits ...
No I could never take a chance
Of losing love to find romance
In the mysterious distance
Between a man and a woman
For love and sex and faith and fear
And all the things that keep us here
In the mysterious distance
Between a man and a woman
How can I hurt when I'm holding you?"
A Room At The Heartbreak Hotel	https://www.allthelyrics.com/lyrics/u2/a_room_at_the_heartbreak_hotel-lyrics-18559.html	The Best Of 1980-1990 (Disk 2)	"From where I stand
I can see through you
From where you're sitting, pretty one
I know it got to you
See the stars in your eyes
You want the truth but you need the lies
Like Judy Garland, like Valentino
You give your life for rock and roll, uh huh
Stand
We're on the landslide of love
You got everything you want,
And what you need you give away
For a primitive love and a ride on the mystery train
A primitive love
A room at the heart, heartbreak hotel
A room at the heartbreak, heartbreak hotel
A room at the heartbreak, heartbreak hotel
You say it's love, it's not the money
You let them suck your life out like honey
Turning tricks
You're on the street selling your kisses so bittersweet
I love it, yeah
Buy me again
I want to know pretty baby
I want to know
The price is too hard to pay
A primitive love and a ride on the mystery train
A primitive love
A room at the heart, heartbreak hotel
A room at the heartbreak, the heartbreak
The heartbreak hotel, hotel
A room at the heartbreak, the heartbreak
The heartbreak hotel, hotel
A room at the heartbreak, the heartbreak
The heartbreak hotel, hotel
A room at the heartbreak, the heartbreak
The heartbreak hotel, hotel
Hallelujah, said halle-hello to ya'
Said Hallelujah
A room at the heartbreak, the heartbreak
The heartbreak hotel, hotel
A room at the heartbreak, the heartbreak
The heartbreak hotel, hotel
Hallelujah
A room at the heartbreak, the heartbreak
The heartbreak hotel, hotel
A room at the heartbreak, the heartbreak
The heartbreak hotel, hotel
A room at the heartbreak, the heartbreak
The heartbreak hotel, hotel
A room at the heartbreak, the heartbreak
The heartbreak hotel, hotel
A room at the heartbreak, the heartbreak
The heartbreak hotel, hotel
A room at the heartbreak, the heartbreak
The heartbreak hotel, hotel
A room at the heartbreak, the heartbreak
The heartbreak hotel, hotel"
A Sort Of Homecoming	https://www.allthelyrics.com/lyrics/u2/a_sort_of_homecoming-lyrics-18473.html	The Unforgettable Fire	"And you know it's time to go
Through the sleet and driving snow
Across the fields of mourning
Light in the distance
And you hunger for the time
Time to heal, desire, time
And your earth moves beneath
Your own dream landscape
Oh, oh, oh...
On borderland we run...
I'll be there
I'll be there...
Tonight
A high road
A high road out from here
The city walls are all pulled down
The dust, a smoke screen all around
See faces ploughed like fields that once
Gave no resistance
And we live by the side of the road
On the side of a hill
As the valley explode
Dislocated, suffocated
The land grows weary of its own
Oh, oh, oh...on borderland we run...
And still we run
We run and don't look back
I'll be there
I'll be there
Tonight
Tonight
I'll be there tonight...I believe
I'll be there...somehow
I'll be there...tonight
Tonight
The wind will crack in winter time
This bomb-blast lightning waltz
No spoken words, just a scream...
Tonight we'll build a bridge
Across the sea and land
See the sky, the burning rain
She will die and live again
Tonight
And your heart beats so slow
Through the rain and fallen snow
Across the fields of mourning
Light's in the distance
Oh don't sorrow, no don't weep
For tonight, at last
I am coming home
I am coming home"
A Sort Of Homecoming (Live From Wembley)	https://www.allthelyrics.com/lyrics/u2/a_sort_of_homecoming_live_from_wembley-lyrics-1119805.html	Wide Awake in America	"And you know it's time to go
Through the sleet and driving snow
Across the fields of mourning
Lights in the distance
And you hunger for the time
Time to heal, desire, time
And your earth moves beneath
Your own dream landscape
Oh, on borderland we run and still we run
I'll be there, I'll be there, tonight
We'll build a bridge across the sea and land
The city walls are all pulled down
The dust a smokescreen all around
Faces ploughed like fields
That once gave no resistance
Oh, on borderland we run and still we run
We run and don't look back
I'll be there, I'll be there
Tonight, tonight
I'll be there tonight
I'll be there tonight
Now the wind will crack in wintertime
This bomb-blast lightning waltz
No spoken words, just a scream
Tonight, we'll build a bridge across the sea and land
I'll be there, I'll be there
Tonight, tonight
And your heart beats so slow
Through the rain and fallen snow
Across the fields of mourning
Lights in the distance
Oh, don't sorrow,
No don't weep for tonight, with you
I am coming home
I am coming home"
