song	link	album	lyrics
A Dangerous Mind	https://www.allthelyrics.com/lyrics/within_temptation/a_dangerous_mind-lyrics-320000.html	The Silent Force	"I'm searching for answers
cause something is not right.
I follow the sings,
I'm close to the fire.
I fear that soon you'll reveal
your dangerous mind.
Chorus:
It's in your eyes, what's on your mind.
I fear your smile and the promise inside.
It's in your eyes, what's on your mind.
I fear your presence, I'm frozen inside.
I'm searching for answers
not questioned before.
The curse of awareness,
there's no peace of mind.
As your true colours show
a dangerous sign.
Chorus:
It's in your eyes, what's on your mind.
I see the truth that you've buried inside.
It's in your eyes, what's on your mind.
There is no mercy, just anger I find.
I just hace to know, while I still have time.
Do I have to run, or hide away from you?
Chorus:
It's in your eyes, what's on your mind.
I see the truth that you've buried inside.
It's in your eyes, what's on your mind.
There is no mercy, just anger I find"
All I Need	https://www.allthelyrics.com/lyrics/within_temptation/all_i_need-lyrics-1002426.html	Heart Of Everything	"All I Need
I'm dying to catch my breath
Oh why don't i ever learn
I've lost all my trust that i'm sure we try to
Turn it around
Can you still see the heart of me
All my agony fades away
When you hold me in your embrace
Don't tear me down
For all i need
Make my heart a better place
Give me something I can believe
Don't turn me down
You're far from the door now
Don't let it close
He only had to go
I wish I could let it go
I know that I'm only one step away
From turning around
Can you still see the heart of me
All my agony fades away
When you hold me in your embrace
Don't tear me down
For all i need
Make my heart a better place
Give me something I can believe
Don't turn it down
What's left of me
Make my heart a better place
I've tried many times but nothing was real
Make it fade away
Don't break me down
I want to believe that this is for real
Save me from my fear
Don't turn me down
Don't tear me down
For all i need
Make my heart a better place
Don't tear me down
For all i need
Make my heart a better place
Give me something i can believe
Don't tear it down
What's left of me
Make my heart a better place"
Angels	https://www.allthelyrics.com/lyrics/within_temptation/angels-lyrics-320120.html	The Silent Force	"Sparkling Angel
I Believe
You Are My Saviour
In My Time Of Need
Blinded By Faith
I Couldn't Hear
All The Whispers
They're Warning So Clear
I See The Angels
I'll Lead Them To Your Door
There Is No Escape Now
Now Mercy No More
No Remorse Cause I Still Remember
The Smile When You Tore Me Apart
Chorus
You Took My Heart
Deceived Me Right From The Start
You Showed Me Dreams
I Wished They'd Turn In To Real
You Broke A Promise
And Made Me Realize
It Was All Just A Lie
Sparkling Angel
Couldn't See
Your Dark Intensions
Your Feelings For Me
Fallen Angel
Tell Me Why
What Is The Reason?
The Thorn In Your Eye
I See The Angels
I'll Lead Them To Your Door
There Is No Escape Now
No Mercy No More
No Remorse Cause I Still Remember
The Smile When You Tore Me Apart
Chorus
Could Have Been Forever
Now We Have Reached The End
This World May Have Failed You
It Doesn't Give The Reason Why
You Could Have Chosen
A Different Path Of Life
Chorus
The Smile When You Tore Me Apart
You Took My Heart
Deceived Me Right From The Start
You Showed Me Dreams
I Wished They'd Turn In To Real
You Broke A Promise
And Made Me Realize
It Was All Just A Lie
Could Have Been Forever
Now We Have Reached The End"
Another Day	https://www.allthelyrics.com/lyrics/within_temptation/another_day-lyrics-39477.html	The Dance	"I know you're going away
I take my love into another day
In my thoughts you're with me
I fell in love with your ways
I know you're going away
Lead my heart into a daze
I know you're going away
Leaves a void in my heart and soul
Wherever you are
Whatever you do
I feel the walls surrounding you
Wherever you are
Whatever you do
I know you are independent
But I'm trying to get through to you
Wherever you are
Whatever you do
Don't you know, it depends on you
[Repeat 1st verse]"
Aquarius	https://www.allthelyrics.com/lyrics/within_temptation/aquarius-lyrics-579238.html	The Silent Force	"I hear your whispers
Break the silence
And it calms me down
Taste on my lips
Your salty kisses
They say I'm seeking up the danger
That one day you will let me go
REF:
I need you Aquarius
And try to learn
We'll have to stay
I feel you Aquarius
Cause you don't see,
Set me free
You call to me Aquarius
I relinquish
To your powers
From your grasp
I just can't hide
Mr. Danger
I had to conquer
You made me feel alive
They say I have to be aware
That one day you will let me go
REF
I long for you Aquarius
I need to be with you again
I feel you Aquarius
My destiny 'till the end
REF
REF"
Bittersweet	https://www.allthelyrics.com/lyrics/within_temptation/bittersweet-lyrics-225904.html	Mother Earth	"If I tell you
Will you listen?
Will you stay?
Will you be here forever?
Never go away?
Never thought things would change
Hold me tight
Please don't say again
That you have to go
A bitter thought
I had it all
But I just let it go
Hold your silence
It's so violent
Since your gone
[REF:] All my thoughts are with you forever
Until the day we'll be back together
I will be waiting for you
If I had told you
You would have listened
You had stayed
You would be here forever
Never went away
It would never have been the same
All our time
Would have been in vain
Cause you had to go
The sweetest thought
I had it al
Cause I did let you go
All our moments
Keep me warm
When you're gone
[REF:] All my thoughts are with you forever
Until the day we'll be back together
I will be waiting for you"
Blue Eyes	https://www.allthelyrics.com/lyrics/within_temptation/blue_eyes-lyrics-1127101.html	Heart Of Everything	"Blue eyes just smile to the world
Full of dreams and with fascination
Too soon she saw that her hands were chained and pulled
without any freedom
It’s always the same, the fear no way out
I cannot break it
I can take it no more
It's burning me up inside
Lost all my tears, can't cry
No reason, no meaning
Just hatred
No matter how hard I try
You fear the beast inside
It's growing, it's waiting
Just to hurt you
This heart was hurt by the light and
I see your world that tries to deny
Now everything that I love has died or has been shattered to pieces
It’s always the same, the fear no way out
I cannot break it
I can take it no more
It's burning me up inside
Lost all my tears, can't cry
No reason, no meaning
Just hatred
No matter how hard I try
You fear the beast inside
It's growing, it's waiting
Just to hurt you
Just to hurt you
Just to hurt you
Can’t you see their eyes, what lies inside
They’ve given up, they no longer shine
Too soon they close with one last cry
Before they turn to white
Just to hurt you
It's burning me up inside
Lost all my tears, can't cry
No reason, no meaning
Just hatred
No matter how hard I try
You fear the beast inside
It's growing, it's waiting
Just to hurt you
Just to hurt you"
Caged	https://www.allthelyrics.com/lyrics/within_temptation/caged-lyrics-39481.html	Mother Earth	"These are the darkest clouds
To have surrounded me
Now I find my self alone caught in a cage
There's no flower to be found in here
Not withering
Or pale to me
Everyone with a friendly face
Seems to hide some secret inside
He told me he loved me
While he laughed in my face
He just led me astray
He took my virtue
I feel so cold inside
Sorrow has frozen my mind
My heart is covered
With thoughts entangled
How could it ever have felt so real?
Is there a place more lonely than I feel within?
Could I have seen?
Could I have known?
I just took it as the truth
Everyone with a friendly face
Seems to hide some secret inside
Always there to remind me
To keep me from believing
That someone might be there
Who'll free me and never ever leave me"
Candles	https://www.allthelyrics.com/lyrics/within_temptation/candles-lyrics-39535.html	Enter	"Take away,
These hands of darkness.
Reaching for my soul.
Now, the cold wind,
blows out my candles.
Feeling,
only fear,
without any hopr.
A thousand dark moons.
A thousand winters long.
A million fallen stars,
the candle burns in the womb.
We trie not to forget,
they live through us.
Slowly they die away at every candle's end
A thousand dark moons.
A thousand winters long.
A million fallen stars,
the candle burns in the womb.
We trie not to forget,
they live through us.
Slowly they die away at every candle's end"
Dark Wings	https://www.allthelyrics.com/lyrics/within_temptation/dark_wings-lyrics-39486.html	Mother Earth	"Why was I one of the chosen ones?
Until the fight I could not see
The magic and the strength of my power
It was beyond my wildest dreams
Dark wings they are descending
See shadows gathering around
One by one they are falling
Every time they try to strike us down
Don't you die on me
You haven't made your peace
Live life, breathe, breathe
Don't you die on me
You haven't made your peace
Live life, breathe, breathe
As they took your soul away
The night turned into the day
Blinded by your rays of life
Give us the strength we needed"
