song	link	album	lyrics
Ain't It All Amusing	https://www.allthelyrics.com/lyrics/elf/aint_it_all_amusing-lyrics-375547.html	Album: Carolina County Ball	"Baby if you flatter me, you might get somewhere
But I ain't gonna flatter you 'coz I don't really care
Ain't it all, ain't it all amusing
Now, now maybe if you get the sign, I might be a man
Baby you forgot the time, I'll do the best I can
Ain't it all, ain't it all, ain't it all amusing
Well, ain't it all, right, right, ain't it all amusing
Make me laugh.....
Hey, Jack and Jill went up the hill
To fetch a pail of water
Jill fell down and broke her crown
And that's the way it oughta.....
Well, ain't it all now, all now, all, ain't it all amusing
I say, ain't it all, right, ain't it all amusing
Oh, oh yeah
Oh, Baby if you flatter me, you might get somewhere
But I ain't gonna flatter you 'coz I don't really care
Ain't it all, ain't it all amusing
Ha-ha
Well, ain't it all, right, right, ain't it all amusing
All amusing"
Annie New Orleans	https://www.allthelyrics.com/lyrics/elf/annie_new_orleans-lyrics-375546.html	Album: Carolina County Ball	"Aggravatin' Annie you're getting on my fanny
And I just can't cope any more
When it gets down to fundamentals
You're a bit confusing
You've got wrinkles on your face
But they seem to be in place
So I wonder well I wonder
Are you leading the young boy on?
Annie New Orleans
You're a hard core woman, a red necked woman
A good old girl from the South
With a negative way of speaking
But you're sentimental
We never speak of life but you want to be my wife
And I wonder, well I wonder
Are you leading the young boy on?
Annie New Orleans
Well didn't think I heard you at all
I was starting to fall
Back it up and try it again
I ain't letting you win, no way, all right
Aggravatin' Annie you're on my fanny
And I can't cope any more
When it gets down to fundamentals
Lady, you're confusing
Well, you've got some wrinkles on your face
But they're all in their place
So I wonder, I just wonder
Well are you leading the young boy on?
Annie New Orleans
Hey, Annie New Orleans
Oh, hey, Annie New Orleans
Yeah"
Black Swampy Water	https://www.allthelyrics.com/lyrics/elf/black_swampy_water-lyrics-783419.html	Album: Trying To Burn The Sun	"Oh yeah
Uh back in the wood
Where it's good
And the days are yellow
Well I saw me a child
She was wild
Like a lady going all out
Dark as the night
She was ripe
For a little conversation
So I pulled her right in
And she said
She had some imagination
Black swampy water
That's where I caught her
Black swampy water
Black swampy water
We didn't speak
For a week
Got tangled up in her hair
So we lay in the grass
What a gas
You can't know that you were there
So then I let it all go
And the show
Was like blowing up a freight train
And round the world I would go
Like jumping on a jet plane
Black swampy water
That's where I caught her
Black swampy water
Uh, what I taught her, yeah
Oh, back in the wood
Where it's good
And the days are yellow
Gotta saw me a child
She was wild
Like a lady going all out
I've been
Black swampy water
All right
That's where I caught her, oh
Black swampy water
Oh all the things that I taught her
Yes, again
Black swampy water, my my
Where I saw here, oh
Black swampy water
What I did when I caught her, oh yeah yeah"
Blanche	https://www.allthelyrics.com/lyrics/elf/blanche-lyrics-375545.html	Album: Carolina County Ball	"Rainy days, rainy days
Too many rainy days
It's been found you can't get brown
Rain go away
[First four lines repeated 2 times]
Rainy days, rainy days
Too many rainy days
[Last two lines repeated 8 times]"
Carolina County Ball	https://www.allthelyrics.com/lyrics/elf/carolina_county_ball-lyrics-375544.html	Album: Carolina County Ball	"Well just imagine my surprise to be there
If you touched me with a feather I'd fall
I guess that you could say we finally made it
We played the Carolina County Ball
We had the ladies all in line to see us
I must have promised twenty seven I'd call
We thought the sun was never gonna stop shining
On the Carolina County Ball
We played it hot, hard and nasty, oh hey
At the Carolina County Ball, And we sang
Ooooo, On a boogie woogie Friday night, Ooooo
When you got it sailing really wailing
It's all right, o-oh right
Oh right
Yeah
Well just imagine my surprise to be there
If you touched me with a feather I'd fall
We thought the sun was never gonna stop shining
Down on the Carolina County Ball
We played it hot, and hard, nasty, hey
At the Carolina County Ball
And we sang, yeah, ooooo
On a boogie woogie Friday night, it's all right
Ooooo
When you got it sailing, really wailing, it's all right
All right
Oh yeah
Hey, Doo-o-oo
On a boogie woogie Friday night
Doo-o-o
Say, everything gotta be all right
Doo-o-o
It's a boogie woogie Friday night, hey
Doo-o-o
When you got it sailing, really wailing
It's all right, go ahead
Oh, Doo-o-o
On the boogie woogie Friday night
Doo-o-o
Say, everything gotta be all - so - right
Doo-o-o
It's a boogie woogie Friday night
Doo-o-o
When you got it sailing, really wailing
Hypnotising, tantalising
Carolina County Ball and it's all right"
Dixie Lee Junction	https://www.allthelyrics.com/lyrics/elf/dixie_lee_junction-lyrics-375543.html	Album: Elf	"These old boots will keep me walking
To a place I long to be
High upon a mountaintop
Down in Tennessee
Said goodbye to New York
Country living on my mind
Crowded streets and hot cement
That's what I left behind
Well, just outside of Oakridge
About a 15 minute ride
Well, all I need is clean fresh air
To keep me satisfied
Satisfied
Big city living got me on the run
Big city living got me on the run
Dixie Lee Junction
Dixie Lee Junction
Well, big city living got me on the run
Big city living got me on the run
Dixie Lee Junction
Dixie Lee Junction
Oh, yeah!
Yeah, big city living got me on the run
Big city living got me on the run
Dixie Lee junction
Dixie Lee Junction
Dixie Lee Junction
Dixie Lee Junction
Alright!
Dixie Lee Junction
Oh, Dixie Lee Junction
Hey, Dixie Lee Junction
Oh!"
Do The Same Thing	https://www.allthelyrics.com/lyrics/elf/do_the_same_thing-lyrics-375542.html	Album: Carolina County Ball	"Crazy little woman go down, go down, go down, go down
Down to where the honey is sweet
Hey sweet baby go round, go round, go round, go round
Got to knock me off my feet
Lord I got the fever
Stop just 'fore I die
....No, do the same thing!
Do the same thing!
Hey little mama don't fall, fall, fall, fall
Baby I'm depending on you
Yeah, hey sweet woman you call me, call me, call me, call
For anything you want me to do
Lord I got the fever
Stop just 'fore I die
....No, do the same thing!
Do the same thing!
Oh hey!
All right
Crazy little woman go down, go down, go down, go down
Down to where the honey is so sweet
Listen sweet lady go round, go round, go round, go round
Got to knock me off my feet
I say Lord I got the fever
Won't just stop 'fore I die
....No, do the same thing!
Oh, do the same thing!
Yeah, do the same thing!
Oh, do the same thing!
Yeah, do the same thing!
Oh, do the same thing!
Yeah, the same thing!
Oh yeah"
First Avenue	https://www.allthelyrics.com/lyrics/elf/first_avenue-lyrics-375541.html	Album: Elf	"Crazy little mama, is your heart still meant today?
Feeling alive in some peculiar way
Baby come home
Baby come home
Pretty little woman, please come back today
It's just gotta be wrong to throw my love away
Baby come home
Baby come home
Baby come home from heartbreak city, yeah
First Avenue
First Avenue
First Avenue
I'm back from First Avenue
Hey, ma, is your heart still meant today?
Well, I'm feeling alive in some peculiar way
Baby come home
Baby come home
You just gotta come home from heartbreak city, yeah
Oh
Little woman come home
First Avenue
My baby is home
First Avenue
Gotta, gotta come
First Avenue
Ooooh-hoooo
First Avenue
I tell ya, I'm coming home
First Avenue
Oooooh
First Avenue
Help me go
First Avenue
Can't make it on my own
First Avenue
Take, take it home"
Gambler, Gambler	https://www.allthelyrics.com/lyrics/elf/gambler_gambler-lyrics-375540.html	Album: Elf	"I gotta tell ya about the blues
I gotta tell ya just how I lose
Ain't got no money
But I'll straighten up my head at the Cosmo now
Gambler, gambler
Chicken in the first degree
Gambler, gambler
Chicken in the first degree
I never been a gambler
So please don't messin' me
Hey, jury, jury
I tell you story, true
Ah, listen, jury, jury
Tell you story true
The jury found me guilty
Don't know what to do
I was playing in Boston
Say, up in old St. Lou
Surrounded by the FBI
For something I didn't do
Now my baby left me
Left me all alone
Judge said, ""Son, you ain't going home""
Gambler, gambler
Chicken in the first degree
Well, I've never been a gambler
So please don't messin' me
Oh, no, no, no
Oh, gambler, gambler
Chicken in the first degree
Gambler, gambler
Chicken in the first degree
Well, I've never been a gambler
So please don't messin' me"
Good Time Music	https://www.allthelyrics.com/lyrics/elf/good_time_music-lyrics-783422.html	Album: Trying To Burn The Sun	"Are there hard days ahead
Should we put it away
For a rainy day
Is my moon out tonight
Should I wake up today
I think I've just gotta say
Life's too complicated
To do much more creating
Waiting for the man to take us down
And you can't have no money
The cloudy days aren't sunny
And all the women that you know
Look just like men
Ah but it's smiling time again
And everybody wins
Good time music Is coming back today
Will the sun shine today
Should we keep it alive
Or lock it all up inside
Can we all find a way
To be happy again
When's it all gonna end
Life's too complicated
To do much more creating
Waiting for the man to take us down
And you can't have no money
The cloudy days aren't sunny
And all the women that you know
Look just like me
Ah but it's smiling time again
And everybody wins
'Cause good time music is coming back
'Cause good time music is coming back
'Cause good time music is coming back today
Oh
Good time music's coming back
Good time music's getting back
Good time music's coming back to stay"
