song	link	album	lyrics
Addicted To Love	https://www.allthelyrics.com/lyrics/florence_the_machine/addicted_to_love-lyrics-1347575.html	-	"The lights are on, but you're not home
Your mind is not your own
Your heart sweats, your body shakes
Another kiss is what it takes
You can't sleep, you can't eat
There's no doubt, you're in deep
Your throat is tight, you can't breathe
Another kiss is all you need
Whoa, you like to think that you're immune to the stuff, oh Yeah
It's closer to the truth to say you can't get enough,
You know you're gonna have to face it, you're addicted to love
You see the signs, but you can't read
You're running at a different speed
Your heart beats in double time
Another kiss and you'll be mine,
A one-track mind, you can't be saved
Oblivion is all you crave
If there's some left for you
You don't mind if you do
Whoa, you like to think that you're immune to the stuff, oh Yeah
It's closer to the truth to say you can't get enough,
You know you're gonna have to face it, you're addicted to love
Might as well face it, you're addicted to love [5x]
Your lights are on, but you're not home
Your will is not your own
Your heart sweats your teeth grind
Another kiss and you'll be mine
Whoa, you like to think that you're immune to the stuff, oh Yeah
It's closer to the truth to say you can't get enough,
You know you're gonna have to face it, you're addicted to love
Might as well face it, you're addicted to love [8x]"
All This And Heaven Too	https://www.allthelyrics.com/lyrics/florence_the_machine/all_this_and_heaven_too-lyrics-1370541.html	-	"[Florence]
And the heart is hard to translate,
It has a language of its own,
It talks and tongues and quiet sighs and prayers and proclamations,
In the grand days of great men and the smallest of gestures,
In short shallow gasps!
But with all my education,
I can't seem to commend it,
And the words are all escaping me,
And coming back all damaged,
And I would put them back in poetry,
If I only knew how,
I can't seem to understand it,
And I would give all this and heaven too,
I would give it all if only for a moment,
That I could just understand the meaning of the word you see,
'Cause I've been scrawling it forever,
But it never makes sense to me at all.
And it talks to me in tiptoes,
And sings to me inside,
It cries out in the darkest night,
And breaks in morning light.
But with all my education,
I can't seem to commend it,
And the words are all escaping,
And coming back all damaged,
And I would put them back in poetry,
If I only knew how,
I can't seem to understand it,
And I would give all this and heaven too,
I would give it all if only for a moment,
That I could just understand the meaning of the word you see,
'Cause I've been scrawling it forever,
But it never makes sense to me at all.
And I would give all this and heaven too,
I would give it all if only for a moment,
That I could just understand the meaning of the word you see,
'Cause I've been scrawling it forever,
But it never makes sense to me at all.
No, words are a language,
It doesn't deserve such treatment,
And all my stumbling phrases,
Never amounted to anything worth this feeling,
All this heaven,
Never could describe such a feeling as I'm having,
Words were never so useful,
So I was screaming out a language that I never knew existed before"
Between Two Lungs	https://www.allthelyrics.com/lyrics/florence_the_machine/between_two_lungs-lyrics-1315271.html	Album: Lungs	"Between two lungs it was released
The breath that captured me
The sigh that blew me forward
Because it was trapped
Trapped between two lungs
It was trapped between two lungs
It was trapped between two lungs
And my running feet could fly
Each breath screaming: ""We are all too young to die!""
Between two lungs it was released
The breath that passed from you to me
That flew between us as we slept
That slipped from your mouth into mine
It crept between two lungs
It was released
The breath that passed from you to me
That flew between us as we slept
That slipped from your mouth into mine
It crept
Because it was trapped
Tapped between two lungs
It was trapped between two lungs
Gone all the days of begging
The days of theft
No more gasping for a breath
The air has filled me head-to-toe
And I can see the ground far below
I have this breath and I hold it tight
And I keep it in my chest with all my might
I pray to God this breath will last
As it pushes past my lips
As I...
GASP
Between two lungs it was released
The breath that passed from you to me
Hoo..."
Blinding	https://www.allthelyrics.com/lyrics/florence_the_machine/blinding-lyrics-1315270.html	Album: Lungs	"Seems that I have been held in some dreaming state
A tourist in the waking world, never quite awake
No kiss, no gentle word could wake me from this slumber
Until I realized that it was you who held me under
Felt it in my fist, in my feet, in the hollows of my eyelids
Shaking through my skull, through my spine and down through my ribs
No more dreaming of the dead as if death itself was undone
No more calling like a crow for a boy, for a body in the garden
No more dreaming like a girl so in love, so in love
No more dreaming like a girl so in love, so in love
No more dreaming like a girl so in love with the wrong world
And I could hear the thunder and see the lightning crack
All around the world was waking, I never could go back
'Cause all the walls of dreaming, they were torn wide open
And finally it seemed that the spell was broken
And all my bones began to shake, my eyes flew open
And all my bones began to shake, my eyes flew open
No more dreaming of the dead as if death itself was undone
No more calling like a crow for a boy, for a body in the garden
No more dreaming like a girl so in love, so in love
No more dreaming like a girl so in love, so in love
No more dreaming like a girl so in love with the wrong world
Snow White's stitching like a circuitboard
It's like I'm slipping through the hidden door
Snow White's stitching like a circuitboard
No more dreaming of the dead as if death itself was undone
No more calling like a crow for a boy, for a body in the garden
No more dreaming like a girl so in love, so in love
No more dreaming like a girl so in love, so in love
No more dreaming like a girl so in love with the wrong world
Snow White's stitching like a circuitboard
It's like I'm slipping through the hidden door
Snow White's stitching like a circuitboard
It's like I'm slipping through the hidden door"
Breaking Down	https://www.allthelyrics.com/lyrics/florence_the_machine/breaking_down-lyrics-1370535.html	-	"All alone
It was always there you see
And even on my own
It was always standing next to me
I can see it coming from the edge of the room
Creeping in the streetlight
Holding my hand in the pale gloom
Can you see it coming now?
Oh, I think I'm breaking down again
Oh, I think I'm breaking down
All alone
Even when I was a child
I've always known
There was something to be find
You know that I can see you coming from the edge of the room
Creeping in the streetlight
Holding my hand in the pale gloom
Can you see it coming now?
Oh, I think I'm breaking down again
Oh, I think I'm breaking down
All alone
On the edge of sleep
My old familiar friend
Comes and lies down next to me
And I can see you coming from the edge of the room
Smiling in the streetlight
Even with my eyes shut tight
I still see you coming now
Oh, I think I'm breaking down again
Oh, I think I'm breaking down again
Oh, I think I'm breaking down again
Oh, I think I'm breaking down"
Cosmic Love	https://www.allthelyrics.com/lyrics/florence_the_machine/cosmic_love-lyrics-1315269.html	Album: Lungs	"A falling star fell from your heart and landed in my eyes
I screamed aloud, as it tore through them, and now it's left me blind
The stars, the moon, they have all been blown out
You left me in the dark
No dawn, no day, I'm always in this twilight
In the shadow of your heart
And in the dark, I can hear your heartbeat
I tried to find the sound
But then, it stopped, and I was in the darkness,
So darkness I became
The stars, the moon, they have all been blown out
You left me in the dark
No dawn, no day, I'm always in this twilight
In the shadow of your heart
I took the stars from my eyes, and then I made a map
And knew that somehow I could find my way back
Then I heard your heart beating, you were in the darkness too
So I stayed in the darkness with you
The stars, the moon, they have all been blown out
You left me in the dark
No dawn, no day, I'm always in this twilight
In the shadow of your heart
The stars, the moon, they have all been blown out
You left me in the dark
No dawn, no day, I'm always in this twilight
In the shadow of your heart"
Dog Days Are Over	https://www.allthelyrics.com/lyrics/florence_the_machine/dog_days_are_over-lyrics-1302133.html	Album: Lungs	"Happiness hit her like a train on a track
Coming towards her stuck still no turning back
She hid around corners and she hid under beds
She killed it with kisses and from it she fled
With every bubble she sank with her drink
And washed it away down the kitchen sink
The dog days are over
The dog days are done
The horses are coming
So you better run
Run fast for your mother, run fast for your father
Run for your children, for your sisters and brothers
Leave all your loving, your longing behind
You cant carry it with you if you want to survive
The dog days are over
The dog days are done
Can you hear the horses?
'Cause here they come
And I never wanted anything from you
Except everything you had and what was left after that too, oh
Happiness hit her like a bullet in the back
Struck from a great height by someone who should know better than that
The dog days are over
The dog days are done
Can you hear the horses?
'Cause here they come
Run fast for your mother, run fast for your father
Run for your children, for your sisters and brothers
Leave all your loving, your longing behind
You cant carry it with you if you want to survive
The dog days are over
The dog days are done
Can you hear the horses?
'Cause here they come
The dog days are over
The dog days are done
The horses are coming
So you better run"
Drumming Song	https://www.allthelyrics.com/lyrics/florence_the_machine/drumming_song-lyrics-1315268.html	Album: Lungs	"There's a drumming noise inside my head
That starts when you're around
I swear that you could hear it
It makes such an all mighty sound
There's a drumming noise inside my head
that throws me to the ground
I swear that you should hear it
It makes such an all mighty sound
Louder than sirens
Louder than bells
Sweeter than heaven
And hotter than hell
I ran to a tower where the church bells chime
I hoped that they would clear my mind
They left a ringing in my ear
But that drum's still beating loud and clear
Louder than sirens
Louder than bells
Sweeter than heaven
And hotter than hell
Louder than sirens
Louder than bells
Sweeter than heaven
And hotter than hell
Louder than sirens
Louder than bells
Sweeter than heaven
And hotter than hell
As I move my feet towards your body
I can hear this beat it fills my head up
and gets louder and louder
it fills my head up and gets louder and louder
I run to the river and dive straight in
I pray that the water will drown out the din
But as the water fills my mouth
it couldn't wash the echoes out
But as the water fills my mouth
it couldn't wash the echoes out
I swallow the sound and it swallows me whole
Till there's nothing left inside my soul
As empty as that beating drum
But the sound has just begun
As I move my feet towards your body
I can hear this beat it fills my head up
and gets louder and louder
it fills my head up and gets louder and louder
There's a drumming noise inside my head
That starts when you're around
I swear that you could hear it
It makes such an all mighty sound
There's a drumming noise inside my head
That starts when you're around
I swear that you could hear it
It makes such an all mighty sound
Louder than sirens
Louder than bells
Sweeter than heaven
And hotter than hell
Louder than sirens
Louder than bells
Sweeter than heaven
And hotter than hell
As I move my feet towards your body
I can hear this beat it fills my head up
and gets louder and louder
it fills my head up and gets louder and louder"
Girl With One Eye	https://www.allthelyrics.com/lyrics/florence_the_machine/girl_with_one_eye-lyrics-1315267.html	Album: Lungs	"She told me not to step on the cracks
I told her not to fuss and relax
Well, her pretty little face stopped me in my tracks
But now she sleeps with one eye open
That's the price she paid
I took a knife and cut out her eye
I took it home and watched it wither and die
Well, she's lucky that I didn't slip her a smile
That's why she sleeps with one eye open
That's the price she paid
I said, hey, girl with one eye
Get your filthy fingers out of my pie
I said, hey, girl with one eye
I'll cut your little heart out cause you made me cry
I slipped my hand under her skirt
I said don't worry, it's not gonna hurt
Oh, my reputation's kinda clouded with dirt
That's why you sleep with one eye open
That's the price you paid
I said, hey, girl with one eye
Get your filthy fingers out of my pie
I said, hey, girl with one eye
I'll cut your little heart out cause you made me cry
You made me cry
You made me cry
You made me cry
I said, hey, girl with one eye
Get your filthy fingers out of my pie
I said, hey, girl with one eye
Get your filthy fingers out my pie
I said, hey, girl with one eye
Get your filthy fingers out of my pie
I said, hey, girl with one eye
I'll cut your little heart out cause you made me cry"
Heartlines	https://www.allthelyrics.com/lyrics/florence_the_machine/heartlines-lyrics-1370539.html	-	"[Florence]
Ohh the river, ohh the river, it's running free
And ohh the joy, ohh the joy it brings to me.
But I know it'll have to drown me,
Before it can breathe easy.
And I've seen it in the flights of birds,
I've seen it in you
The entrails of the animals,
The blood running through.
But in order to get to the heart,
I think sometimes you'll have to cut through
But you can't...
We will carry?
We will carry you there?
Just keep following!
The heartlines on your head!
Just keep following!
The heartlines on your head!
Keep it up!
I know you can!
Just keep following!
The heartlines on your head!
Cause I am?
On the sea, on the sea and land over land.
Creeping and crawling like the sea over sand.
Still I follow heartlines on your head.
And this fantasy, this fallacy, this tumbling stone.
Echoes of a city that's long overgrown.
Your heart is the only place that I call home,
Can I be returned?
You can?
We can?
I know you can?
Just keep following!
The heartlines on your head!
Just keep following!
The heartlines on your head!
Keep it up!
I know you can!
Just keep following!
The heartlines on your head!
What a thing to do?
Oooh
What a thing to choose?
But know, in some way I'm there with you.
Up against the wall on a Wednesday afternoon.
Just keep following!
The heartlines on your head!
Just keep following!
The heartlines on your head!
Keep it up!
I know you can!
Just keep following!
The heartlines on your head!
Cause I am"
